Unnamed: 0,runstring,t
0,0000000.bin,4907.134052080825
1,0000001.bin,572.3862766914227
2,0000002.bin,48380.148201308526
3,0000003.bin,2828.6125473275156
4,0000004.bin,347.765804187198
5,0000005.bin,2317.6544949036083
6,0000006.bin,5320.098285766667
7,0000007.bin,2681.5197979057953
8,0000008.bin,3390.8246730900505
9,0000009.bin,2918.348766720302
10,0000010.bin,1026.6853522779663
11,0000011.bin,1173.7749487674184
12,0000012.bin,1849.307172585675
13,0000013.bin,1532.254549955576
14,0000014.bin,1795.1331999196307
15,0000015.bin,1341.7119426712227
16,0000016.bin,10187.163765639856
17,0000017.bin,1795.904550901378
18,0000018.bin,1501.9082009194474
19,0000019.bin,2730.4896234199655
20,0000020.bin,1591.2228494184435
21,0000021.bin,7813.992213181532
22,0000022.bin,569.8565664495937
23,0000023.bin,1322.9930326213278
24,0000024.bin,2434.3888585065356
25,0000025.bin,1480.296473923702
26,0000026.bin,3472.180063017368
27,0000027.bin,1573.7543218071007
28,0000028.bin,1589.563936114396
29,0000029.bin,949.9835748108059
30,0000030.bin,292.5674234950992
31,0000031.bin,627.6545847554986
32,0000032.bin,696.2351813030001
33,0000033.bin,2578.8925740099135
34,0000034.bin,9085.231645804
35,0000035.bin,1095.9305458630572
36,0000036.bin,3446.6343456279224
37,0000037.bin,2865.0173619274897
38,0000038.bin,1950.4907102667519
39,0000039.bin,2638.706450876663
40,0000040.bin,4972.308552780377
41,0000041.bin,2532.6417499679897
42,0000042.bin,4095.003209530189
43,0000043.bin,3594.048216646444
44,0000044.bin,428.34583070974156
45,0000045.bin,1177.0347413521793
46,0000046.bin,1260.3082629629196
47,0000047.bin,5081.395321036179
48,0000048.bin,56338.98449101403
49,0000049.bin,3738.0412327428608
50,0000050.bin,1967.5709114503527
51,0000051.bin,2676.854722178235
52,0000052.bin,6977.362271940997
53,0000053.bin,1233.7907265279957
54,0000054.bin,1938.3691939658117
55,0000055.bin,3440.2011666505045
56,0000056.bin,427.0859908737947
57,0000057.bin,3090.7523748535755
58,0000058.bin,1400.3134097890645
59,0000059.bin,10869.513767036395
60,0000060.bin,957.7618534641966
61,0000061.bin,753.7734077958067
62,0000062.bin,4983.046709883615
63,0000063.bin,38775.94528828313
