,runstring,t,t_shadow
0,0000000.bin,12356442.1217,83150808.6446
1,0000001.bin,134874.883234,213307.15688
2,0000002.bin,12763.808118,9321.51881085
3,0000003.bin,1000000000.0,1000000000.0
4,0000004.bin,87.9188765432,87.9188765432
5,0000005.bin,1000000000.0,1000000000.0
6,0000006.bin,149.300988799,149.300988799
7,0000007.bin,521.139202963,321.052787361
8,0000008.bin,0.831384188616,0.831384188616
9,0000009.bin,105.724251825,105.724251825
10,0000010.bin,1000000000.0,1000000000.0
11,0000011.bin,1000000000.0,1000000000.0
12,0000012.bin,9.28378001436,9.28378001436
13,0000013.bin,1000000000.0,1000000000.0
14,0000014.bin,1000000000.0,1000000000.0
15,0000015.bin,13946.7560067,920.133126197
16,0000016.bin,1000000000.0,1000000000.0
17,0000017.bin,1000000000.0,1000000000.0
18,0000018.bin,1000000000.0,1000000000.0
19,0000019.bin,8.279158363,8.279158363
20,0000020.bin,5.4038577246,5.4038577246
21,0000021.bin,359024.215651,646731.388681
22,0000022.bin,2025537.20441,311291.666001
23,0000023.bin,293.781716518,293.781716518
24,0000024.bin,27242568.1537,1338897.06733
25,0000025.bin,370834.044418,671974.880182
26,0000026.bin,406.30093284,344.155492178
27,0000027.bin,236.11212478,287.380602579
28,0000028.bin,33746.4082286,41949.1921129
29,0000029.bin,1136.08426111,1157.97733505
30,0000030.bin,7581212.36322,1985338.86466
31,0000031.bin,26710.9586395,52379.1534677
32,0000032.bin,1000000000.0,1000000000.0
33,0000033.bin,1000000000.0,1000000000.0
34,0000034.bin,32685756.5207,10944536.0441
35,0000035.bin,291881.611598,171401.775068
36,0000036.bin,1000000000.0,1000000000.0
37,0000037.bin,1000000000.0,1000000000.0
38,0000038.bin,192.395406472,337.298176597
39,0000039.bin,1000000000.0,1000000000.0
40,0000040.bin,1000000000.0,1000000000.0
41,0000041.bin,1000000000.0,1000000000.0
42,0000042.bin,55864.4000317,10783.3226081
43,0000043.bin,1000000000.0,1000000000.0
44,0000044.bin,30278.3704077,26680.1764437
45,0000045.bin,404.433731303,679.136899546
46,0000046.bin,2308921.68357,74663.8672654
47,0000047.bin,1000000000.0,1000000000.0
48,0000048.bin,230754179.19,129778734.349
49,0000049.bin,1000000000.0,1000000000.0
50,0000050.bin,105.239243478,105.239243478
51,0000051.bin,1000000000.0,1000000000.0
52,0000052.bin,1424720.05084,3997715.76265
53,0000053.bin,1000000000.0,1000000000.0
54,0000054.bin,1000000000.0,1000000000.0
55,0000055.bin,1000000000.0,1000000000.0
56,0000056.bin,385.435357746,585.825718541
57,0000057.bin,547362.03591,726856.353723
58,0000058.bin,5325.86831754,350.531474229
59,0000059.bin,28.4402675698,28.4402675698
60,0000060.bin,5463264.21759,4521304.99973
61,0000061.bin,1000000000.0,1000000000.0
62,0000062.bin,57136.1940692,51882.350891
63,0000063.bin,11625.3738729,7813.61914568
64,0000064.bin,11.8125706664,11.8125706664
65,0000065.bin,1000000000.0,1000000000.0
66,0000066.bin,9824841.82435,12675901.5998
67,0000067.bin,35670389.4854,47501359.5469
68,0000068.bin,74014703.2446,1967632.89707
69,0000069.bin,11857.8992967,12954.0041418
70,0000070.bin,1000000000.0,1000000000.0
71,0000071.bin,596.933710965,1237.96541486
72,0000072.bin,507864.690005,1309103.25682
73,0000073.bin,1000000000.0,1000000000.0
74,0000074.bin,87.0858622666,287.792101715
75,0000075.bin,1000000000.0,1000000000.0
76,0000076.bin,1000000000.0,1000000000.0
77,0000077.bin,28789.3041775,7181.06229019
78,0000078.bin,1000000000.0,1000000000.0
79,0000079.bin,22104780.988,183499763.854
80,0000080.bin,273592298.644,411606532.85
81,0000081.bin,1000000000.0,1000000000.0
82,0000082.bin,1000000000.0,1000000000.0
83,0000083.bin,7.17067930259,7.17067930259
84,0000084.bin,156.645449068,156.506886087
85,0000085.bin,1068.5019311,10774.635602
86,0000086.bin,121.9349325,121.9349325
87,0000087.bin,1000000000.0,1000000000.0
88,0000088.bin,1000000000.0,1000000000.0
89,0000089.bin,1319.68403577,1387.96147263
90,0000090.bin,452629.33177,272999.210689
91,0000091.bin,525542.307628,498606.599061
92,0000092.bin,1883653.44887,3298411.80244
93,0000093.bin,7569.89468155,18167.0544343
94,0000094.bin,1027.58885823,450.678635571
95,0000095.bin,1000000000.0,1000000000.0
96,0000096.bin,1000000000.0,1000000000.0
97,0000097.bin,1000000000.0,1000000000.0
98,0000098.bin,29.9298204051,29.9298204051
99,0000099.bin,1000000000.0,788533514.877
100,0000100.bin,1000000000.0,1000000000.0
101,0000101.bin,1000000000.0,1000000000.0
102,0000102.bin,1000000000.0,1000000000.0
103,0000103.bin,27142929.8423,31444332.8709
104,0000104.bin,246911.731499,368520.989201
105,0000105.bin,1000000000.0,1000000000.0
106,0000106.bin,1000000000.0,1000000000.0
107,0000107.bin,64.1205033002,64.1205033002
108,0000108.bin,12682712.1709,884626.099691
