,Unnamed: 0,runstring,t
0,0,0000000.bin,198548.083229
1,1,0000001.bin,692521.654341
2,2,0000002.bin,105697.935848
3,3,0000003.bin,453654.681662
4,4,0000004.bin,256797.182927
5,5,0000005.bin,50395.2600883
6,6,0000006.bin,334609.746255
7,7,0000007.bin,340440.898521
8,8,0000008.bin,274043.060589
9,9,0000009.bin,51300.3944831
10,10,0000010.bin,96922.2302471
11,11,0000011.bin,559928.766378
12,12,0000012.bin,100484.155274
13,13,0000013.bin,283376.070401
14,14,0000014.bin,285368.481506
15,15,0000015.bin,144069.170181
16,16,0000016.bin,171739.629887
17,17,0000017.bin,586403.072787
18,18,0000018.bin,1134541.01785
19,19,0000019.bin,141339.252423
20,20,0000020.bin,164612.766068
21,21,0000021.bin,328923.739732
22,22,0000022.bin,108066.721299
23,23,0000023.bin,113637.823673
24,24,0000024.bin,192457.850998
25,25,0000025.bin,79668.1426513
26,26,0000026.bin,45979.2268434
27,27,0000027.bin,698585.559431
28,28,0000028.bin,273919.461541
29,29,0000029.bin,168583.142993
30,30,0000030.bin,372604.744746
31,31,0000031.bin,511987.78566
32,32,0000032.bin,552496.957923
33,33,0000033.bin,636955.810896
34,34,0000034.bin,166349.803808
35,35,0000035.bin,178872.24411
36,36,0000036.bin,139638.760926
37,37,0000037.bin,185131.177956
38,38,0000038.bin,267636.313655
39,39,0000039.bin,146786.374697
40,40,0000040.bin,273775.562874
41,41,0000041.bin,1755660.49419
42,42,0000042.bin,2475152.64871
43,43,0000043.bin,3724443.41605
44,44,0000044.bin,907539.726748
45,45,0000045.bin,140367.676611
46,46,0000046.bin,236327.995884
47,47,0000047.bin,133510.527531
48,48,0000048.bin,131250.445502
49,49,0000049.bin,702922.576587
50,50,0000050.bin,187208.320923
51,51,0000051.bin,205624.094076
52,52,0000052.bin,8590770.9128
53,53,0000053.bin,210946.855202
54,54,0000054.bin,767235.061858
55,55,0000055.bin,206208.937889
56,56,0000056.bin,57269.3139714
57,57,0000057.bin,238450.27606
58,58,0000058.bin,258604.888284
59,59,0000059.bin,213735.697282
60,60,0000060.bin,195891.257956
61,61,0000061.bin,567613.246206
62,62,0000062.bin,55385.5716446
63,63,0000063.bin,320765.613692
