ID,Anderson_P,KS_P,ShapiroW
1601.0,0.0,1.5419036084068525e-66,0.0
1364.0,1.8780659940603558e+215,7.464849325657462e-62,0.0
1829.0,4.539667833327794e+168,3.195230307190976e-60,0.0
2215.0,8.177321455137369e+84,2.9706465915155014e-59,2.2420775429197073e-44
1819.0,2.2004946403039254e+85,7.786948738951908e-45,1.401298464324817e-45
2364.0,3.81788618504487e+124,1.8919888695306946e-43,0.0
1880.0,7.437620152523401e+83,4.3703056870179446e-42,0.0
1356.0,3.8845913930121305e+128,1.1185268619166503e-32,0.0
1640.0,1.3340975886613476e+83,4.109440377922466e-30,0.0
2300.0,697097.4843305927,9.292948969864274e-29,4.010931169751474e-29
2288.0,6.238139291507952e+44,1.9539114031114024e-27,7.595037676640509e-43
1992.0,3.161358952342545e+24,5.306344049705759e-27,4.6625782154065006e-39
1508.0,4455285539898716.0,8.718127025641925e-27,4.203895392974451e-44
1946.0,3.278991819672384e+48,2.662102164727056e-25,1.401298464324817e-45
1230.0,97770.40059741435,7.031084302013948e-23,3.853577286021023e-32
1223.0,1.1378045786202856e+21,1.6491096176510238e-21,3.3613596017831325e-36
1277.0,23.099215365265287,2.380997509164207e-20,1.0146427160600397e-32
24930.0,0.00010636273376773505,2.380997509164207e-20,1.2325344976145827e-27
8744.0,8413.094082301553,2.693032791863986e-17,3.4699018257514818e-34
2274.0,15.94145135540405,1.2936556229237495e-16,1.3064164116775621e-34
1837.0,0.0016070315369780686,2.8011558612658893e-16,1.8618431810402923e-28
1775.0,0.00015942491797189205,1.865362075408059e-15,5.16401762659737e-28
1190.0,8.684311410822895e-05,7.107891836988994e-14,1.857000141305639e-26
1942.0,0.00023399713163890857,2.796470638761168e-13,7.558001606840672e-27
1424.0,59.7027381270685,4.067172658965433e-13,1.2247348578198901e-42
1928.0,0.035250914829475385,8.056846370540928e-13,3.1886064794303495e-30
24453.0,8.708256558522135e-06,3.0858170736226197e-12,3.4096051382153946e-23
2077.0,0.0006230857159198344,5.9662685771241685e-12,2.9615244807385e-30
1886.0,1.603221466737076e-05,2.1768484378396996e-11,3.1239478954458552e-30
1971.0,8.96500298127719e-06,4.6197466443372567e-11,4.779288550732533e-23
1449.0,0.0035190109888269907,7.506105232313062e-11,1.6932489593436555e-35
1657.0,2.2599401519251378e-05,1.4277976211976443e-10,6.501517607328798e-32
2399.0,0.002023331925779044,1.7287765070773579e-10,6.086288407301432e-33
4753.0,4.554256827815296e-05,2.511905119686179e-10,9.04770741974804e-30
1957.0,7.997814837423826e-06,4.804621826676092e-10,8.490840123582715e-29
2341.0,1.0054328623193686e-05,3.7160438228260017e-09,4.535155476800114e-31
1742.0,1.5110059726941445e-05,4.557390439841948e-09,1.367258593531817e-27
2048.0,8.195538171970106e-06,4.937247710442861e-09,5.557637859739571e-26
2329.0,1.5096042021909141e-05,8.662796943386683e-09,7.715025732042571e-24
1720.0,4.4755240183625824e-05,1.1010663531259727e-08,1.356758118786882e-30
1270.0,3.3753337152173896e-05,1.1440032598900118e-08,7.053209999864261e-16
1785.0,4.504027036750225e-05,3.40973448751773e-08,1.461214296237471e-26
2232.0,9.563980861556207e-06,3.40973448751773e-08,5.311066441563518e-26
2377.0,1.2061128670075749e-05,4.2261017968518435e-08,4.079669715952531e-29
2336.0,1.0787613068522567e-05,4.457569108035107e-08,3.640014747888134e-22
3898.0,1.1401019547934579e-05,7.105959789213464e-08,1.2134309193740447e-19
2117.0,9.394852650775536e-06,7.572131853193388e-08,1.674546433763323e-30
2301.0,2.100739391296979e-05,7.572131853193388e-08,4.3345969299511376e-23
1476.0,1.029377247030658e-05,1.275924470567565e-07,9.74319178869038e-39
1366.0,1.0291535675868263e-05,1.6512426018319317e-07,7.518786598173766e-33
1308.0,1.3311573046516369e-05,2.1326445737278948e-07,4.3700688494153056e-23
1396.0,9.467486818484361e-06,2.1326445737278948e-07,1.1500900371100566e-30
2059.0,1.1292413657933107e-05,2.1326445737279025e-07,3.432467116109605e-24
24946.0,1.3046543304774225e-05,3.426796601920599e-07,1.6170860682201653e-24
24576.0,1.1230201875391016e-05,3.5358897376329835e-07,2.44498312030301e-22
1426.0,1.1114037703190476e-05,5.641450469407172e-07,3.560581629659916e-22
2145.0,8.101548932436103e-06,7.325010918704379e-07,1.2726505629465593e-24
23975.0,8.301313344765068e-06,7.435011662000994e-07,1.8974433219868098e-27
1041.0,2.0577305757631917e-05,8.813667689418526e-07,7.356836653823186e-23
2147.0,6.213672592273504e-05,1.208032661381431e-06,4.039697046140334e-19
3000.0,8.430240764972638e-06,1.4922259498571985e-06,1.081700209626473e-22
1504.0,6.193564640571079e-05,1.535181422089745e-06,7.706145901466249e-19
2285.0,3.183807832244202e-05,2.46426156232964e-06,1.6192717454087385e-23
5958.0,4.8268185693613555e-05,3.387287371623541e-06,1.0239589639024369e-20
1266.0,1.6158515872983498e-05,3.923743560962539e-06,1.4526389145940254e-21
2359.0,0.00012514618299664046,3.923743560962539e-06,4.673858319777775e-17
1237.0,0.00013069259451294548,4.936169237586727e-06,7.580139534881606e-17
1617.0,9.302635821772888e-05,6.197280383496619e-06,1.4553907832866856e-23
2242.0,2.19758381568093e-05,6.754630402048811e-06,7.977905077455261e-22
1138.0,3.453494036759477e-05,6.9804377181558455e-06,2.8814519579309693e-21
21872.0,1.6058303533868156e-05,7.76486534299647e-06,1.1021399546124612e-24
1194.0,1.0928400657449549e-05,7.83009943363899e-06,4.606615378834385e-25
1879.0,5.410954068113241e-05,9.70931052578487e-06,5.070795164217881e-17
22998.0,1.7941748479096637e-05,1.5089065820240367e-05,6.89010855075324e-22
1766.0,5.054369433581832e-05,2.0469829988785277e-05,6.162956199723672e-19
2161.0,9.747924725188806e-05,2.8792931826996927e-05,1.0883615783020999e-21
1438.0,0.0004666278600777966,2.8792931826996927e-05,2.5535763443153806e-20
1488.0,0.00011037585331362341,3.556889928938484e-05,9.96775741022413e-21
2094.0,0.00024293921376112123,4.385071122191918e-05,1.124597872404339e-26
91.0,8.372467776586953e-06,5.338318823328473e-05,1.3421633411704624e-27
24017.0,0.0004285196192989445,6.556073840727783e-05,2.3708375960682614e-14
19898.0,0.00015421518237532922,6.624515348151786e-05,8.448380105741938e-20
1838.0,2.7858470581280994e-05,8.035334483794838e-05,5.656752684114189e-19
2203.0,3.787315574131772e-05,9.927006263786136e-05,2.4161544194027617e-23
1799.0,0.0023765765697092243,9.927006263786136e-05,1.4930336697874247e-12
2296.0,9.140460910410161e-05,0.00014756018718906333,9.129868275939991e-24
10518.0,0.00040850052548391485,0.0001678922663971905,1.1573471732500575e-16
2066.0,0.00034252163233874667,0.00017936064907092956,3.281681254243262e-17
1827.0,0.00021746206017536382,0.00017936064907093084,2.315592346180812e-19
1667.0,0.0003583552719785549,0.00021757390943628793,1.976788683992039e-16
1831.0,0.00026962018191300217,0.0002586942488399514,5.213361645306804e-18
2372.0,0.00019629345512847175,0.00030176633453444867,3.1983994574451597e-21
2278.0,0.0010145900907425982,0.00033691089229490214,3.667540175635725e-14
2190.0,0.001955457228517343,0.0003836858960348089,1.2448280795919475e-13
12073.0,1.4141318670376046e-05,0.00046168121046219924,5.435403875716344e-30
24705.0,4.434947539131746e-05,0.0005544089642719564,9.019244588328632e-21
1689.0,0.0016897407528290015,0.0006590794529392989,1.530481994825624e-16
1768.0,0.010516931055288243,0.0006708497310365275,4.212925008850732e-10
1791.0,0.003546220250360202,0.0007946417313054703,2.04115876978328e-10
1598.0,0.0005031277242359076,0.0009484718584334002,5.087888993101722e-21
1675.0,4.846597130990263e-05,0.0010961736413929977,9.176770592705586e-25
1507.0,0.00016801592912798195,0.001129793859041103,1.1096788183642548e-19
2173.0,0.0019136950100941473,0.001129793859041103,8.779149909614163e-18
1613.0,0.0007663535110232627,0.001129793859041115,2.3190654176727735e-14
1979.0,0.000933952288304124,0.0013357730432804805,2.420112626044037e-16
2220.0,0.0014105991453956307,0.001343060724102756,1.1303893205586585e-13
1514.0,0.01381905895373852,0.0013430607241027679,7.193995399390474e-11
2233.0,0.012093563359424646,0.0018864859035887392,3.0242201631835997e-08
1954.0,0.002248012666753757,0.0026176485933793407,0.001112458878196776
2234.0,0.004674934418548966,0.0026284407743365364,2.682238618274905e-16
2223.0,0.00021849314905584766,0.0026284407743365737,1.7971692726606473e-20
1124.0,0.004556567274653709,0.0026284407743365833,2.61912666983102e-14
1344.0,0.0001573976524384467,0.002839015091380614,5.1271719070206164e-18
1875.0,0.00024629332559955906,0.0030530782590604344,1.9066236853947392e-20
20620.0,0.0005147166565836543,0.0030730762134892286,2.0430811054952436e-18
1590.0,0.02267788866760293,0.0030931645886905466,2.3818875760639457e-08
1636.0,0.0013534764662828723,0.0036327000699425123,8.7899096682271e-19
1128.0,0.02583743306921796,0.0036327000699425123,1.875176902643716e-09
1843.0,0.004667100850972232,0.004950238828501441,2.2996367559477e-18
1313.0,0.0038208825603798804,0.00495023882850149,9.794261027342788e-16
1403.0,0.0018041908310935195,0.005813519714986096,4.084969277580843e-15
18539.0,0.0631526958590244,0.00647206473321742,4.001509296358563e-06
2103.0,0.026406446358868685,0.0067725523912379884,3.626222152414149e-12
2185.0,0.022277260168595887,0.00724591563605642,7.01289124428045e-13
2198.0,0.0012209284092076613,0.007830078431980064,3.5108699123929596e-14
21.0,0.010757620485200826,0.007830078431980064,1.6638476553021246e-14
2010.0,0.00021314833943973416,0.010323307967763843,5.2561189958813565e-23
1235.0,0.008148597399060644,0.014097547738750733,1.5048444519779743e-20
2159.0,0.0068056025640056885,0.01604300765998158,3.1955961179086154e-14
2062.0,0.10892460504580598,0.01622507819557479,4.7508882516922313e-07
1805.0,0.0023638602083832978,0.016303753524385775,6.691374167671148e-20
24346.0,0.03997651751709328,0.018287279877960118,7.496585574529036e-09
8462.0,0.002981002975527612,0.018548432340480113,2.1594579565123293e-16
2116.0,0.01186068315073227,0.020513142540062538,3.000570278355319e-11
1850.0,0.003937791468672369,0.021933530183838864,3.358939645523029e-14
1815.0,0.04111135987961026,0.02432877672147386,1.4836844641763491e-08
1137.0,0.0030837020690110454,0.02443690642416376,2.0150043742936385e-13
1691.0,0.009756261735368971,0.02443690642416396,9.397983259662457e-12
2125.0,0.02627134538545551,0.02732743939008703,1.155409708880617e-11
