,runstring,t
0,0000000.bin,561157.7255292167
1,0000001.bin,226726.18735400404
2,0000002.bin,4963172.4838696765
3,0000003.bin,29033106.796910275
4,0000004.bin,1363124.871353499
5,0000005.bin,4163551.28919289
6,0000006.bin,1050045.1891896834
7,0000007.bin,4478213.861992707
8,0000008.bin,10216122.497916985
9,0000009.bin,496198.1717719266
10,0000010.bin,2511679.225165163
11,0000011.bin,2139398.3601149665
12,0000012.bin,7117097.227750038
13,0000013.bin,2078323.0336293147
14,0000014.bin,8095492.997889494
15,0000015.bin,4180384.084651907
16,0000016.bin,1408933.4182717816
17,0000017.bin,22016849.292641524
18,0000018.bin,1696880.5265536632
19,0000019.bin,7936025.486848195
20,0000020.bin,869004.469194751
21,0000021.bin,722820.609654258
22,0000022.bin,100000000.0
23,0000023.bin,339521.99993390474
24,0000024.bin,803523.5335610842
25,0000025.bin,772828.2018293964
26,0000026.bin,13292637.518514145
27,0000027.bin,1311699.353607862
28,0000028.bin,6360829.779894014
29,0000029.bin,7968658.740951245
30,0000030.bin,428807.1307191241
31,0000031.bin,417869.1964391549
32,0000032.bin,3161371.6926572667
33,0000033.bin,198916.59055906456
34,0000034.bin,7298387.191056957
35,0000035.bin,1363534.6398854374
36,0000036.bin,10190408.301096503
37,0000037.bin,5476791.763171543
38,0000038.bin,872784.3578946858
39,0000039.bin,626947.0354545256
40,0000040.bin,3455717.3462378727
41,0000041.bin,5083466.171228473
42,0000042.bin,507677.8222025023
43,0000043.bin,6002458.3552537905
44,0000044.bin,251764.53780928682
45,0000045.bin,3293007.15929385
46,0000046.bin,35392166.234779865
47,0000047.bin,1247214.4860757643
48,0000048.bin,14678259.730035532
49,0000049.bin,7925338.630553667
50,0000050.bin,16721690.69436631
51,0000051.bin,10632915.297401521
52,0000052.bin,1210661.4979710754
53,0000053.bin,788359.776829629
54,0000054.bin,9338240.085201506
55,0000055.bin,1048312.2725584218
56,0000056.bin,2071348.6201024472
57,0000057.bin,1082834.8816646312
58,0000058.bin,3440062.8648207234
59,0000059.bin,495781.05934262276
60,0000060.bin,3446052.954069753
61,0000061.bin,25064496.918250892
62,0000062.bin,866871.5527843952
63,0000063.bin,2807681.1001967685
64,0000064.bin,4217825.649860864
65,0000065.bin,5833552.068959107
66,0000066.bin,15387355.05618051
67,0000067.bin,4415624.8269285755
68,0000068.bin,2242278.8418494808
69,0000069.bin,303101.9637888053
70,0000070.bin,328204.19231287204
71,0000071.bin,488019.35948195984
72,0000072.bin,3863324.561629747
73,0000073.bin,3705320.148394485
74,0000074.bin,548988.6150305043
75,0000075.bin,790324.5804072125
76,0000076.bin,4850078.861687248
77,0000077.bin,425875.53112879745
78,0000078.bin,4589144.499351551
79,0000079.bin,334672.6739017328
80,0000080.bin,9138768.370765883
81,0000081.bin,966674.5955752453
82,0000082.bin,7105838.101928194
83,0000083.bin,3401736.429587205
84,0000084.bin,1322705.4266850834
85,0000085.bin,2614701.492564042
86,0000086.bin,11840175.785047803
87,0000087.bin,12137164.513244916
88,0000088.bin,12805479.400186364
89,0000089.bin,1213021.8672524372
90,0000090.bin,1181386.3440180954
91,0000091.bin,400023.87894427404
92,0000092.bin,8679955.053110573
93,0000093.bin,2575966.189459403
94,0000094.bin,3156819.7250442253
95,0000095.bin,408013.1702558568
96,0000096.bin,1130015.4205075025
97,0000097.bin,1190296.1508900814
98,0000098.bin,6775893.92357031
99,0000099.bin,2524139.389533107
100,0000100.bin,1577094.0198698307
101,0000101.bin,1296834.0985794517
102,0000102.bin,4767920.529736747
103,0000103.bin,13040133.39299247
104,0000104.bin,1502009.868665411
105,0000105.bin,387360.8222509397
106,0000106.bin,1421391.1922423963
107,0000107.bin,6257655.230603968
108,0000108.bin,4025582.68336
109,0000109.bin,1791879.2413488312
110,0000110.bin,4770637.355068971
111,0000111.bin,56730295.12541126
112,0000112.bin,10412649.518439833
113,0000113.bin,14876516.203109909
114,0000114.bin,536685.7902242499
115,0000115.bin,304924.7738569032
116,0000116.bin,430444.2303201929
117,0000117.bin,1044892.719668604
118,0000118.bin,813371.5230295248
119,0000119.bin,3438909.423025866
120,0000120.bin,4448919.966858407
121,0000121.bin,3741439.015821268
122,0000122.bin,4259389.460922186
123,0000123.bin,4366198.47596689
124,0000124.bin,5865330.071103324
125,0000125.bin,10761038.165365595
126,0000126.bin,8501433.738090653
127,0000127.bin,5788016.561885958
128,0000128.bin,299217.94420584687
129,0000129.bin,1072645.6436523444
130,0000130.bin,1855762.5330650827
131,0000131.bin,523947.1122010285
132,0000132.bin,9557363.126441214
133,0000133.bin,415036.3583749428
134,0000134.bin,3884876.4675873565
135,0000135.bin,820955.9994711762
136,0000136.bin,616141.464482618
137,0000137.bin,2989602.4998804377
138,0000138.bin,2872566.0722906487
139,0000139.bin,14147812.539657418
140,0000140.bin,8356359.7756097065
141,0000141.bin,425717.9491637694
142,0000142.bin,700382.2749773355
143,0000143.bin,11130985.646451477
144,0000144.bin,374462.69164802507
145,0000145.bin,4161287.4297407614
146,0000146.bin,5557053.84609509
147,0000147.bin,2091845.083414178
