ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
0.0,0.4770811014229117,3.7875754194722964,0.3756347150768872,0.016731412920528713,0.012379387013723802,4.282620909023659e-08
1.0,inf,7.999999955146997,6.408910892782125e-54,inf,inf,inf
2.0,inf,7.999999960972528,2.2599111483840016e-52,inf,inf,inf
3.0,0.5911324327877323,6.83750428140782,0.306543385276229,0.013839040841917847,0.009771883130473622,1.828421162959009e-08
4.0,0.7632053598143608,5.687568150621652,0.23983756313057164,0.010565552582267417,0.0076485200984365,6.523257742799818e-09
5.0,0.3901803031449657,5.797548918601388,0.4567843418743342,0.020690450025639205,0.014836802068410301,9.42455552710071e-08
6.0,inf,7.96133583522864,0.09085443591563094,inf,inf,inf
7.0,0.606705009950139,3.764901990745381,0.29908974094844404,0.01314280631108929,0.009640942972263061,1.6054055238061883e-08
8.0,0.43041866412322727,5.891150942361628,0.417528621670801,0.01865761283316608,0.013477655556277944,6.32387962167598e-08
9.0,0.16057331454939702,7.095185753160341,1.1551199607253382,0.0509357883588916,0.036764312583626384,3.507046544340395e-06
10.0,0.4219419559454613,6.29035886377574,0.43121631073442973,0.019605299175545203,0.013792494738324586,7.308004423693142e-08
11.0,0.6480759818872678,7.4643120210236,0.2745025041920282,0.012206204372937162,0.008813600753475396,1.1574623855777074e-08
12.0,inf,7.999997907218674,1.4453845908612912e-52,inf,inf,inf
13.0,0.7246546190523585,4.644210361087789,0.25617377852546674,0.011093688421511797,0.008051475748941671,7.978389191944375e-09
14.0,0.6390848250513192,4.641321006938654,0.2790606716906073,0.012957490954822298,0.008820579585541152,1.3046669329892704e-08
15.0,0.3824377129161498,5.394118484047972,0.47225537621915153,0.02170342478221233,0.014858258857274126,1.0398302379713678e-07
16.0,0.388339715109073,7.284099124412643,0.45493290939460107,0.02117607764030283,0.014106863928067061,8.9246278410976e-08
17.0,inf,7.999999976034193,1.5588572066709413e-54,inf,inf,inf
18.0,0.7940740314835966,7.790219563295165,0.22616976947124687,0.010148383251242999,0.007352438980681357,5.564432172626818e-09
19.0,0.29598276065651485,5.506962477383223,0.6117216691467854,0.027111349994615567,0.019351744141325327,2.751876241855009e-07
20.0,0.49635345592114416,4.297724480956331,0.37124918563329523,0.016143446853804207,0.011790133047193244,3.623007460032283e-08
21.0,inf,7.999999157319069,7.630059396076113e-54,inf,inf,inf
22.0,0.4255171284750354,5.696338898452464,0.4219748814653336,0.019127266338209048,0.013651762831173989,6.817937253247872e-08
23.0,0.7809113067761165,5.750305153315754,0.23298255061160889,0.010600915093917555,0.007416597299008168,6.182027132963711e-09
24.0,0.702069314962104,7.830310190260456,0.2583919460192954,0.011579333732105509,0.008203159247960931,9.01260414124421e-09
25.0,0.708144194158088,5.975441564155267,0.25585998412855976,0.011715545571372735,0.00839638351413929,9.672733459412482e-09
26.0,0.4369865764302928,5.083315551358408,0.4189024103378883,0.019046009496858696,0.013127293725512506,6.248019589720045e-08
27.0,0.5293633463699605,4.935118481589786,0.3437021676782328,0.01525295920185558,0.010943594084173234,2.7862133180193906e-08
28.0,0.3014136400091601,4.877459836870872,0.6191346255679913,0.026538523585510107,0.019711357090270852,2.7318508335761803e-07
29.0,0.5295490260663911,7.824575591266786,0.3434047740598927,0.015281036799796172,0.011004587388336037,2.822713857242651e-08
30.0,0.7509728519975423,6.173449688422225,0.23908906214714062,0.010599751091392632,0.0075959329587699485,6.482260623735047e-09
31.0,0.7148431080030395,6.869909286954626,0.2550058128610022,0.011546236170951685,0.008441145744431878,9.499923681995783e-09
32.0,inf,7.999999941022047,4.1053183032961456e-52,inf,inf,inf
33.0,0.44564585308169385,4.651385929161704,0.4064284956656381,0.018206899757504957,0.012839223380034853,5.4638613213606446e-08
34.0,0.4615696312778153,4.728932725405367,0.396512803836143,0.01784530296580518,0.012434766404233192,4.9245313152239626e-08
35.0,0.9528803213283271,7.889204067252983,0.19180064515777442,0.008286035913442553,0.006194688371711402,2.63429130521973e-09
36.0,0.36922523870741053,4.931004489943285,0.4972117527456042,0.02204702691967278,0.01565065252162102,1.1877850040931108e-07
37.0,0.6253187567662254,4.911632989815413,0.2897801433752453,0.01281069579184182,0.009267767465541836,1.408161245230419e-08
38.0,0.2823924008392393,5.0646753953062245,0.6260844462755424,0.027891074374987383,0.020407833733125488,3.238174085196764e-07
39.0,0.5136300085266149,7.612281736315786,0.349650359925616,0.015742569107243233,0.011204965967739117,3.111438718693573e-08
40.0,inf,7.999988714504515,1.0289387928211922e-51,inf,inf,inf
41.0,0.4704326624864597,5.790898847711949,0.3904947785759276,0.017475434749605216,0.012191607752412958,4.532763869073883e-08
42.0,0.4525353911218559,5.189591239495999,0.4039721966322152,0.017844143245767455,0.0127078913545059,5.142588850823042e-08
43.0,0.4620957356960111,5.344513230222252,0.392046368440622,0.017239276662792586,0.012693874969309914,4.785088159091199e-08
44.0,inf,7.985477364840364,0.049592913785653635,inf,inf,inf
45.0,inf,7.99999959702896,1.8675306967418129e-53,inf,inf,inf
46.0,0.3086147696484872,5.46126055733929,0.5875454897471052,0.026636840296140715,0.018659948242277524,2.4694683615572847e-07
47.0,0.3445044141151905,6.003410613668224,0.5249862700662636,0.024007002148259658,0.01705158420283479,1.6730127144377173e-07
48.0,0.4486202578503218,5.489677485579715,0.39536784649934475,0.017982306368813143,0.012691116509721875,5.206699436685366e-08
49.0,0.3127897746630032,5.570551931437908,0.5814461932986259,0.02584300074605411,0.018131001824266756,2.1925889253088256e-07
50.0,0.3008564548210107,4.387149063460001,0.2733753944185954,0.008489796444963477,0.006141809266530241,2.7172538998001316e-09
51.0,0.38166273334158296,7.554085007287682,0.477566925510117,0.021654217657341535,0.015408744611406967,1.1134255941194878e-07
52.0,inf,7.999598549566576,0.005347673425300305,inf,inf,inf
53.0,0.334635460994694,5.357514096835872,0.5330589260320869,0.024490052487997745,0.01705192737952887,1.7427243347256688e-07
54.0,inf,6.219218442506127,0.1822190575733328,inf,inf,inf
55.0,0.5481065031901418,7.564620515582479,0.32848487529243253,0.015166527457973755,0.010675382132659431,2.6213241116852032e-08
56.0,inf,7.999999974651971,3.2025128746941142e-52,inf,inf,inf
57.0,inf,7.999999875675433,1.449597670232158e-53,inf,inf,inf
58.0,0.5860170080870808,5.371674198436327,0.3091636364888008,0.013925547091957364,0.010015845161683279,1.9451504857159162e-08
59.0,0.40483766446964237,5.204664008802487,0.44155727429327174,0.020265026840736187,0.014400055147281298,8.515144941742784e-08
60.0,inf,4.28339727892259,0.08547398607404223,inf,inf,inf
61.0,0.2551236795889786,5.1959598171226755,0.7268404472729847,0.031693275460743166,0.02209840145188766,4.905590957514775e-07
62.0,0.5768876440053696,5.059258002407302,0.3145827281824873,0.01410207943391093,0.010092802392506301,2.0236816647258634e-08
