CMDLINE python collect_times.py
MEM 1.269531 1525737441.1208
MEM 7.019531 1525737441.2215
MEM 10.824219 1525737441.3220
MEM 13.519531 1525737441.4225
MEM 16.984375 1525737441.5231
MEM 20.421875 1525737441.6237
MEM 22.414062 1525737441.7241
MEM 24.691406 1525737441.8247
MEM 27.863281 1525737441.9252
MEM 31.375000 1525737442.0257
MEM 36.128906 1525737442.1262
MEM 38.296875 1525737442.2269
MEM 41.121094 1525737442.3274
MEM 43.414062 1525737442.4281
MEM 45.566406 1525737442.5287
MEM 47.968750 1525737442.6292
MEM 48.347656 1525737442.7297
MEM 53.777344 1525737442.8302
MEM 53.777344 1525737442.9306
MEM 54.011719 1525737443.0312
MEM 54.011719 1525737443.1317
MEM 54.488281 1525737443.2323
MEM 54.488281 1525737443.3328
MEM 54.722656 1525737443.4334
MEM 54.722656 1525737443.5340
MEM 54.957031 1525737443.6346
MEM 55.191406 1525737443.7352
MEM 55.425781 1525737443.8357
MEM 55.425781 1525737443.9363
MEM 55.664062 1525737444.0368
MEM 55.664062 1525737444.1374
MEM 55.898438 1525737444.2379
MEM 56.378906 1525737444.3385
MEM 56.632812 1525737444.4390
MEM 56.632812 1525737444.5396
MEM 57.125000 1525737444.6401
MEM 57.371094 1525737444.7407
MEM 57.617188 1525737444.8412
MEM 57.867188 1525737444.9417
MEM 58.351562 1525737445.0423
MEM 58.492188 1525737445.1426
MEM 58.593750 1525737445.2432
MEM 58.839844 1525737445.3437
MEM 59.085938 1525737445.4443
MEM 59.085938 1525737445.5448
MEM 59.332031 1525737445.6454
MEM 59.585938 1525737445.7459
MEM 60.074219 1525737445.8463
MEM 60.074219 1525737445.9469
MEM 60.566406 1525737446.0475
MEM 61.062500 1525737446.1480
MEM 61.062500 1525737446.2499
MEM 61.570312 1525737446.3505
MEM 61.808594 1525737446.4510
MEM 62.042969 1525737446.5517
MEM 62.523438 1525737446.6522
MEM 62.523438 1525737446.7528
MEM 63.015625 1525737446.8533
MEM 63.261719 1525737446.9539
MEM 64.003906 1525737447.0544
MEM 64.253906 1525737447.1549
MEM 64.496094 1525737447.2555
MEM 64.746094 1525737447.3560
MEM 64.992188 1525737447.4566
MEM 65.238281 1525737447.5571
MEM 65.488281 1525737447.6577
MEM 65.488281 1525737447.7582
MEM 65.734375 1525737447.8587
MEM 65.984375 1525737447.9591
MEM 66.226562 1525737448.0597
MEM 66.730469 1525737448.1601
MEM 67.222656 1525737448.2606
MEM 67.710938 1525737448.3612
MEM 68.218750 1525737448.4618
MEM 68.218750 1525737448.5624
MEM 68.468750 1525737448.6629
MEM 68.968750 1525737448.7635
MEM 69.214844 1525737448.8641
MEM 69.707031 1525737448.9646
MEM 70.199219 1525737449.0652
MEM 70.449219 1525737449.1657
MEM 70.695312 1525737449.2662
MEM 71.191406 1525737449.3668
MEM 71.449219 1525737449.4673
MEM 71.699219 1525737449.5681
MEM 72.191406 1525737449.6687
MEM 72.437500 1525737449.7692
MEM 72.683594 1525737449.8696
MEM 72.683594 1525737449.9702
MEM 72.929688 1525737450.0707
MEM 73.175781 1525737450.1714
MEM 73.667969 1525737450.2718
MEM 73.917969 1525737450.3724
MEM 74.167969 1525737450.4730
MEM 74.417969 1525737450.5735
MEM 74.667969 1525737450.6741
MEM 75.164062 1525737450.7746
MEM 75.410156 1525737450.8751
MEM 75.656250 1525737450.9757
MEM 75.902344 1525737451.0763
MEM 76.148438 1525737451.1768
MEM 76.402344 1525737451.2773
MEM 76.648438 1525737451.3780
MEM 76.894531 1525737451.4786
MEM 76.894531 1525737451.5791
MEM 77.144531 1525737451.6797
MEM 77.394531 1525737451.7802
MEM 77.644531 1525737451.8807
MEM 77.890625 1525737451.9813
MEM 78.136719 1525737452.0818
MEM 78.382812 1525737452.1824
MEM 78.632812 1525737452.2830
MEM 78.882812 1525737452.3835
MEM 79.128906 1525737452.4841
MEM 79.375000 1525737452.5847
MEM 79.621094 1525737452.6852
MEM 79.621094 1525737452.7858
MEM 80.113281 1525737452.8861
MEM 80.367188 1525737452.9867
MEM 80.613281 1525737453.0872
MEM 80.859375 1525737453.1876
MEM 80.859375 1525737453.2882
MEM 81.105469 1525737453.3887
MEM 81.355469 1525737453.4893
MEM 81.605469 1525737453.5897
MEM 81.851562 1525737453.6903
MEM 82.101562 1525737453.7908
MEM 82.347656 1525737453.8914
MEM 82.347656 1525737453.9919
MEM 82.843750 1525737454.0925
MEM 83.093750 1525737454.1930
MEM 83.343750 1525737454.2936
MEM 83.589844 1525737454.3941
MEM 83.839844 1525737454.4947
MEM 84.085938 1525737454.5953
MEM 84.332031 1525737454.6958
MEM 84.332031 1525737454.7964
