ID,Anderson_P,KS_P
3.0,0.25,0.7189191850204419
4.0,0.001,6.125192815723937e-05
5.0,0.25,0.9603008958861495
8.0,0.25,0.7189191850204419
13.0,0.004100032240387488,0.00010844915031869944
14.0,0.25,0.8191511303355717
15.0,0.07975905678577921,0.1725563396262406
19.0,0.25,0.6659218712646571
22.0,0.25,0.25760726053364696
23.0,0.001,0.00299005061044668
25.0,0.1722682115324123,0.12939616996710074
26.0,0.25,0.6126241113875229
27.0,0.25,0.9351121874342835
28.0,0.2287293529129419,0.4599232291065006
30.0,0.06629827893518207,0.14973189477810775
31.0,0.25,0.9603008958861495
33.0,0.04591653275025573,0.1725563396262406
34.0,0.001,1.714405022928302e-07
36.0,0.001,0.0005458774578140435
37.0,0.25,0.8636766933110154
38.0,0.06919460655610184,0.09546453231155308
41.0,0.25,0.41348608403425674
42.0,0.0077701264187632155,0.005832082533064598
43.0,0.09125102463977888,0.25760726053364696
46.0,0.08314150860041859,0.1725563396262406
47.0,0.019568452515473584,0.11136835555551457
48.0,0.25,0.7189191850204419
49.0,0.001,6.5179590696162995e-18
50.0,0.011632372558213835,0.033253124816560224
53.0,0.005613553019875208,0.010968966298223139
54.0,0.20906894587999889,0.5600220048872044
58.0,0.25,0.5600220048872044
59.0,0.05174156990124514,0.2919248807417811
60.0,0.001,1.8377905234860762e-22
61.0,0.001,0.0018769751767371433
62.0,0.001,2.521544567318862e-05
63.0,0.2040810484680265,0.41348608403425674
66.0,0.12546205721490472,0.1725563396262406
70.0,0.001,3.5183715394480326e-07
71.0,0.045542181115169944,0.08150167321107067
73.0,0.2190456644914725,0.1725563396262406
75.0,0.25,0.22634729051389657
77.0,0.25,0.5089169658042532
80.0,0.21916947492807473,0.14973189477810775
81.0,0.04000569580701902,0.028995961061089214
84.0,0.25,0.9603008958861495
89.0,0.001,6.383314923658339e-17
92.0,0.17454504635087206,0.14973189477810775
93.0,0.25,0.9026912216773312
94.0,0.001,0.00018890883025504186
95.0,0.001,1.3379205602150172e-33
99.0,0.001,6.125192815723937e-05
100.0,0.001,3.5183715394480326e-07
101.0,0.055259924575147064,0.03479508043637821
108.0,0.25,0.8636766933110154
109.0,0.25,0.6126241113875229
113.0,0.10459884447157294,0.03479508043637821
115.0,0.09250659430647927,0.3293581065813255
119.0,0.173946483644048,0.3699050405997647
121.0,0.25,0.9603008958861495
122.0,0.2244421533285694,0.08150167321107067
125.0,0.17973206806406833,0.14973189477810775
126.0,0.003645061403380835,0.0007045191903924169
127.0,0.005671590348154691,0.004686682589297701
128.0,0.21107748374068572,0.6659218712646571
130.0,0.008136049864005446,0.04158607858587287
143.0,0.001,3.525557330769207e-22
145.0,0.25,0.7704365372945415
146.0,0.0886163172174505,0.12939616996710074
149.0,0.023125735762681624,0.12939616996710074
150.0,0.04388920268494498,0.08150167321107067
155.0,0.08367074003619925,0.058689209417416795
159.0,0.25,0.9351121874342835
161.0,0.07460867752412824,0.19804212658711798
162.0,0.17716105707081867,0.12939616996710074
165.0,0.001,3.644777735190423e-18
166.0,0.001,1.9471481091760016e-10
167.0,0.001,0.00042124348957333854
168.0,0.09062702221602043,0.22634729051389657
169.0,0.25,0.3293581065813255
170.0,0.03662497371627536,0.007228128990947349
171.0,0.019026480446402996,0.12939616996710074
172.0,0.009290177439211225,0.12939616996710074
175.0,0.014336339933544865,0.01637912818629415
182.0,0.001,4.575187652931717e-05
187.0,0.001,6.125192815723937e-05
188.0,0.001,0.00010844915031869944
192.0,0.044301674376781175,0.008922221390371415
194.0,0.025313424956590592,0.06930076569272504
195.0,0.19895164073069407,0.3699050405997647
197.0,0.25,0.6659218712646571
200.0,0.12468872305721918,0.09546453231155308
201.0,0.001,0.000905580603140259
202.0,0.21455153450737394,0.2919248807417811
204.0,0.25,0.6659218712646571
205.0,0.005459196226729658,0.0007045191903924169
206.0,0.019116810198306456,0.04158607858587287
210.0,0.014885228903055313,0.007066288853488265
211.0,0.04362482562202946,0.19804212658711798
213.0,0.024188625310488543,0.058689209417416795
214.0,0.25,0.3293581065813255
216.0,0.024045377258883532,0.0036110831035977616
218.0,0.25,0.7704365372945415
219.0,0.25,0.22634729051389657
220.0,0.25,0.7189191850204419
221.0,0.019885272013768215,0.010968966298223139
223.0,0.25,0.2919248807417811
235.0,0.09149457879403518,0.19804212658711798
237.0,0.22764504585913412,0.09546453231155308
241.0,0.07819247248824204,0.058689209417416795
243.0,0.007800470324936873,0.004686682589297701
244.0,0.25,0.2919248807417811
245.0,0.053339885945986355,0.03479508043637821
250.0,0.051302054506841714,0.04158607858587287
251.0,0.1497519618263817,0.11072541432341688
255.0,0.001,0.00042124348957333854
257.0,0.24035100706466023,0.5089169658042532
259.0,0.25,0.4599232291065006
264.0,0.25,0.6126241113875229
268.0,0.0010625386754940518,0.003751031948977854
270.0,0.001,2.4648098145541873e-05
272.0,0.014629397338530522,0.007228128990947349
275.0,0.06457802145268003,0.22634729051389657
278.0,0.25,0.8636766933110154
279.0,0.011522973328995984,0.019894110072361745
282.0,0.0714440264736916,0.09546453231155308
284.0,0.25,0.14973189477810775
286.0,0.25,0.7189191850204419
287.0,0.02216537974188561,0.003751031948977854
289.0,0.009884757712801126,0.01343088815558133
291.0,0.25,0.3293581065813255
294.0,0.25,0.25760726053364696
296.0,0.23925405520225754,0.2919248807417811
297.0,0.001,2.6806931905146984e-06
301.0,0.25,0.41348608403425674
303.0,0.14652265217465613,0.058689209417416795
304.0,0.001,7.399507995628047e-300
306.0,0.16518242154057394,0.2919248807417811
307.0,0.001,0.00010844915031869944
308.0,0.25,0.2919248807417811
