Unnamed: 0,runstring,t
0,0000000.bin,2864458.044078947
1,0000001.bin,1292639.7360972252
2,0000002.bin,3786244.783074436
3,0000003.bin,3362042.814284173
4,0000004.bin,2792006.635668562
5,0000005.bin,8645865.986552339
6,0000006.bin,1893759.8528723766
7,0000007.bin,9887924.717310764
8,0000008.bin,2731497.5444137948
9,0000009.bin,2892968.293293343
10,0000010.bin,1851361.362054148
11,0000011.bin,7010616.271182918
12,0000012.bin,1877383.3817105491
13,0000013.bin,1819507.4580258701
14,0000014.bin,1923445.748897103
15,0000015.bin,2914886.357110665
16,0000016.bin,1616374.7556161259
17,0000017.bin,3571663.1555038737
18,0000018.bin,4327795.411520255
19,0000019.bin,4268104.263941766
20,0000020.bin,3989132.954550297
21,0000021.bin,4765855.414948159
22,0000022.bin,2882493.161741023
23,0000023.bin,1168647.5876994927
24,0000024.bin,3323994.8540588664
25,0000025.bin,3674568.555192844
26,0000026.bin,1812156.8768594947
27,0000027.bin,2080898.2438118358
28,0000028.bin,2414016.8218192244
29,0000029.bin,21046298.8649764
30,0000030.bin,5334885.6877331855
31,0000031.bin,2813518.0832368517
32,0000032.bin,2610563.019958564
33,0000033.bin,5575352.81471501
34,0000034.bin,6485953.484581173
35,0000035.bin,2977580.0494157793
36,0000036.bin,7895290.565238615
37,0000037.bin,3234476.301904169
38,0000038.bin,980376.1242170924
39,0000039.bin,1990798.415404049
40,0000040.bin,866949.0015712838
41,0000041.bin,5560605.129497402
42,0000042.bin,2676951.21129039
43,0000043.bin,3674934.7453758838
44,0000044.bin,1944502.60240882
45,0000045.bin,2323384.3185041817
46,0000046.bin,2253771.706736491
47,0000047.bin,2606867.9666755917
48,0000048.bin,21046298.8649764
49,0000049.bin,2002275.6422751632
50,0000050.bin,22166764.771475606
51,0000051.bin,1659948.4775524896
52,0000052.bin,5365163.183033851
53,0000053.bin,2983381.6228984157
54,0000054.bin,7436012.385086202
55,0000055.bin,2459557.6685057627
56,0000056.bin,5296941.02701841
57,0000057.bin,3200559.386792668
58,0000058.bin,2935931.675163963
59,0000059.bin,2031520.8006498266
60,0000060.bin,3359201.696693388
61,0000061.bin,11769671.902416125
62,0000062.bin,3152847.068000951
63,0000063.bin,3053115.7207101816
64,0000064.bin,2547775.7276274757
65,0000065.bin,5093901.4743014285
66,0000066.bin,2906772.9114838885
67,0000067.bin,19086280.549019523
68,0000068.bin,4200720.697648303
69,0000069.bin,6900896.186849342
70,0000070.bin,3583000.051618059
71,0000071.bin,1853836.2894618933
72,0000072.bin,3018024.509787985
73,0000073.bin,4968351.969735035
74,0000074.bin,1490763.1050665353
75,0000075.bin,3402708.11113513
76,0000076.bin,1163181.2353313465
77,0000077.bin,6805556.177268666
78,0000078.bin,2152751.782922336
79,0000079.bin,1490891.7271599632
