,runstring,t
0,0000000.bin,99999164.85557374
1,0000001.bin,99999164.85557374
2,0000002.bin,99999164.85557374
3,0000003.bin,99999164.85557374
4,0000004.bin,99999164.85557374
5,0000005.bin,99999164.85557374
6,0000006.bin,99999164.85557374
7,0000007.bin,99999164.85557374
8,0000008.bin,99999164.85557374
9,0000009.bin,99999164.85557374
10,0000010.bin,99999164.85557374
11,0000011.bin,99999164.85557374
12,0000012.bin,99999164.85557374
13,0000013.bin,99999164.85557374
14,0000014.bin,99999164.85557374
15,0000015.bin,99999164.85557374
16,0000016.bin,99999164.85557374
17,0000017.bin,99999164.85557374
18,0000018.bin,99999164.85557374
19,0000019.bin,99999164.85557374
20,0000020.bin,99999164.85557374
21,0000021.bin,99999164.85557374
22,0000022.bin,99999164.85557374
23,0000023.bin,99999164.85557374
24,0000024.bin,99999164.85557374
25,0000025.bin,99999164.85557374
26,0000026.bin,99999164.85557374
27,0000027.bin,99999164.85557374
28,0000028.bin,99999164.85557374
29,0000029.bin,99999164.85557374
30,0000030.bin,99999164.85557374
31,0000031.bin,99999164.85557374
32,0000032.bin,99999164.85557374
33,0000033.bin,99999164.85557374
34,0000034.bin,99999164.85557374
35,0000035.bin,99999164.85557374
36,0000036.bin,99999164.85557374
37,0000037.bin,99999164.85557374
38,0000038.bin,99999164.85557374
39,0000039.bin,99999164.85557374
40,0000040.bin,99999164.85557374
41,0000041.bin,99999164.85557374
42,0000042.bin,99999164.85557374
43,0000043.bin,99999164.85557374
44,0000044.bin,99999164.85557374
45,0000045.bin,99999164.85557374
46,0000046.bin,99999164.85557374
47,0000047.bin,99999164.85557374
48,0000048.bin,99999164.85557374
49,0000049.bin,99999164.85557374
50,0000050.bin,99999164.85557374
51,0000051.bin,99999164.85557374
52,0000052.bin,99999164.85557374
53,0000053.bin,99999164.85557374
54,0000054.bin,99999164.85557374
55,0000055.bin,99999164.85557374
56,0000056.bin,99999164.85557374
57,0000057.bin,99999164.85557374
58,0000058.bin,99999164.85557374
59,0000059.bin,99999164.85557374
60,0000060.bin,99999164.85557374
61,0000061.bin,99999164.85557374
62,0000062.bin,99999164.85557374
63,0000063.bin,99999164.85557374
64,0000064.bin,99999164.85557374
65,0000065.bin,99999164.85557374
66,0000066.bin,99999164.85557374
67,0000067.bin,99999164.85557374
68,0000068.bin,99999164.85557374
69,0000069.bin,99999164.85557374
70,0000070.bin,99999164.85557374
71,0000071.bin,99999164.85557374
72,0000072.bin,99999164.85557374
73,0000073.bin,99999164.85557374
74,0000074.bin,99999164.85557374
75,0000075.bin,99999164.85557374
76,0000076.bin,99999164.85557374
77,0000077.bin,99999164.85557374
78,0000078.bin,99999164.85557374
79,0000079.bin,99999164.85557374
80,0000080.bin,99999164.85557374
81,0000081.bin,99999164.85557374
82,0000082.bin,99999164.85557374
83,0000083.bin,99999164.85557374
84,0000084.bin,99999164.85557374
85,0000085.bin,99999164.85557374
86,0000086.bin,99999164.85557374
87,0000087.bin,99999164.85557374
88,0000088.bin,99999164.85557374
89,0000089.bin,99999164.85557374
90,0000090.bin,99999164.85557374
91,0000091.bin,99999164.85557374
92,0000092.bin,99999164.85557374
93,0000093.bin,99999164.85557374
94,0000094.bin,99999164.85557374
95,0000095.bin,99999164.85557374
96,0000096.bin,99999164.85557374
97,0000097.bin,99999164.85557374
98,0000098.bin,99999164.85557374
99,0000099.bin,99999164.85557374
100,0000100.bin,99999164.85557374
101,0000101.bin,99999164.85557374
102,0000102.bin,99999164.85557374
103,0000103.bin,99999164.85557374
104,0000104.bin,99999164.85557374
105,0000105.bin,99999164.85557374
106,0000106.bin,99999164.85557374
107,0000107.bin,99999164.85557374
108,0000108.bin,99999164.85557374
109,0000109.bin,99999164.85557374
110,0000110.bin,99999164.85557374
111,0000111.bin,99999164.85557374
112,0000112.bin,99999164.85557374
113,0000113.bin,99999164.85557374
114,0000114.bin,99999164.85557374
115,0000115.bin,99999164.85557374
116,0000116.bin,99999164.85557374
117,0000117.bin,99999164.85557374
118,0000118.bin,99999164.85557374
119,0000119.bin,99999164.85557374
120,0000120.bin,99999164.85557374
121,0000121.bin,99999164.85557374
122,0000122.bin,99999164.85557374
123,0000123.bin,99999164.85557374
124,0000124.bin,99999164.85557374
125,0000125.bin,99999164.85557374
126,0000126.bin,99999164.85557374
127,0000127.bin,99999164.85557374
128,0000128.bin,99999164.85557374
129,0000129.bin,99999164.85557374
130,0000130.bin,99999164.85557374
131,0000131.bin,99999164.85557374
132,0000132.bin,99999164.85557374
133,0000133.bin,99999164.85557374
134,0000134.bin,99999164.85557374
135,0000135.bin,99999164.85557374
136,0000136.bin,99999164.85557374
137,0000137.bin,99999164.85557374
138,0000138.bin,99999164.85557374
139,0000139.bin,99999164.85557374
140,0000140.bin,99999164.85557374
141,0000141.bin,99999164.85557374
142,0000142.bin,99999164.85557374
143,0000143.bin,99999164.85557374
144,0000144.bin,99999164.85557374
145,0000145.bin,99999164.85557374
146,0000146.bin,99999164.85557374
147,0000147.bin,99999164.85557374
148,0000148.bin,99999164.85557374
149,0000149.bin,99999164.85557374
150,0000150.bin,99999164.85557374
151,0000151.bin,99999164.85557374
152,0000152.bin,99999164.85557374
153,0000153.bin,99999164.85557374
154,0000154.bin,99999164.85557374
155,0000155.bin,99999164.85557374
156,0000156.bin,99999164.85557374
157,0000157.bin,99999164.85557374
158,0000158.bin,99999164.85557374
159,0000159.bin,99999164.85557374
160,0000160.bin,99999164.85557374
161,0000161.bin,99999164.85557374
162,0000162.bin,99999164.85557374
163,0000163.bin,99999164.85557374
164,0000164.bin,99999164.85557374
165,0000165.bin,99999164.85557374
166,0000166.bin,99999164.85557374
167,0000167.bin,99999164.85557374
168,0000168.bin,99999164.85557374
169,0000169.bin,99999164.85557374
170,0000170.bin,99999164.85557374
171,0000171.bin,99999164.85557374
172,0000172.bin,99999164.85557374
173,0000173.bin,99999164.85557374
174,0000174.bin,99999164.85557374
175,0000175.bin,99999164.85557374
176,0000176.bin,99999164.85557374
177,0000177.bin,99999164.85557374
178,0000178.bin,99999164.85557374
179,0000179.bin,99999164.85557374
180,0000180.bin,99999164.85557374
181,0000181.bin,99999164.85557374
182,0000182.bin,99999164.85557374
183,0000183.bin,99999164.85557374
184,0000184.bin,99999164.85557374
185,0000185.bin,99999164.85557374
186,0000186.bin,99999164.85557374
187,0000187.bin,99999164.85557374
188,0000188.bin,99999164.85557374
189,0000189.bin,99999164.85557374
190,0000190.bin,99999164.85557374
191,0000191.bin,99999164.85557374
192,0000192.bin,99999164.85557374
193,0000193.bin,99999164.85557374
194,0000194.bin,99999164.85557374
195,0000195.bin,99999164.85557374
196,0000196.bin,99999164.85557374
197,0000197.bin,99999164.85557374
198,0000198.bin,99999164.85557374
199,0000199.bin,99999164.85557374
200,0000200.bin,99999164.85557374
201,0000201.bin,99999164.85557374
202,0000202.bin,99999164.85557374
203,0000203.bin,99999164.85557374
204,0000204.bin,99999164.85557374
205,0000205.bin,99999164.85557374
206,0000206.bin,99999164.85557374
207,0000207.bin,99999164.85557374
208,0000208.bin,99999164.85557374
209,0000209.bin,99999164.85557374
210,0000210.bin,99999164.85557374
211,0000211.bin,99999164.85557374
212,0000212.bin,99999164.85557374
213,0000213.bin,99999164.85557374
214,0000214.bin,99999164.85557374
215,0000215.bin,99999164.85557374
216,0000216.bin,99999164.85557374
217,0000217.bin,99999164.85557374
218,0000218.bin,99999164.85557374
219,0000219.bin,99999164.85557374
220,0000220.bin,99999164.85557374
221,0000221.bin,99999164.85557374
222,0000222.bin,99999164.85557374
223,0000223.bin,99999164.85557374
224,0000224.bin,99999164.85557374
225,0000225.bin,99999164.85557374
226,0000226.bin,99999164.85557374
227,0000227.bin,99999164.85557374
228,0000228.bin,99999164.85557374
229,0000229.bin,99999164.85557374
230,0000230.bin,99999164.85557374
231,0000231.bin,99999164.85557374
232,0000232.bin,99999164.85557374
233,0000233.bin,99999164.85557374
234,0000234.bin,99999164.85557374
235,0000235.bin,99999164.85557374
236,0000236.bin,99999164.85557374
