,betaouter,nearpair,betanear,betafar,numfixedpointsnear,jnear,knear,strengthnear,C_AMDnear,EMcrossnear,numfixedpointsfar,jfar,kfar,strengthfar,C_AMDfar,EMcrossfar,numfixedpointsouter,jouter,kouter,strengthouter,C_AMDouter,EMcrossouter,unstableinNorbits,tlyap,megno,EMmednear,EMmaxnear,EMslopenear,EMrollingstdnear,Zcommednear,Zsepouternear,ZfreeICnear,ZfreeOCnear,Zfreenear,Zstarmednear,Zstarstdnear,Zstarslopenear,EMmedfar,EMmaxfar,EMslopefar,EMrollingstdfar,Zcommedfar,Zsepouterfar,ZfreeICfar,ZfreeOCfar,Zfreefar,Zstarmedfar,Zstarstdfar,Zstarslopefar,EMmedouter,EMmaxouter,EMslopeouter,EMrollingstdouter,Zcommedouter,Zsepouterouter,ZfreeICouter,ZfreeOCouter,Zfreeouter,Zstarmedouter,Zstarstdouter,Zstarslopeouter,testnear,testfar,testouter,KSpval,AMDerr,EMslopemax,Zstarslopemax
3,25.295277529019643,12,10.746531908437746,15.024486334183273,3.0,5.0,2.0,0.7102192113443632,0.949706677948896,0.40611221496767147,1.0,5.0,2.0,0.00993701367983255,0.6929193460844768,1.0076026549124162,3.0,3.0,2.0,0.015228703287107638,0.11255472683099346,0.4277684480243093,False,10000.0,2.018135314891365,0.09036327176636387,0.14294149477989085,0.06604562110328081,0.027901432010479267,0.10142672745845237,0.1007312750517264,,,0.5644546074589165,0.0725246616214536,0.07636731310379419,-0.0042730143050434865,0.07911712940840213,0.10499680019656693,-0.026395372956543258,0.01094052501888892,0.034775059135903265,,,,,,,,0.2388660823724653,0.24720003212614464,0.007572462134062803,0.0014301735875273745,0.08793641560370255,0.4942804933983399,0.3981681303862271,,,,0.00505190123612426,,2.83978901176053,2.7677647032211365,1.34796101669767,0.40310260702007866,0.0045754149740963495,0.06604562110328081,-0.0042730143050434865
4,9.032649499504052,12,3.70011382393935,7.123620285713524,3.0,12.0,1.0,0.7749144913147247,5.847346076942254,0.059896720725897815,3.0,7.0,2.0,0.0430416549595639,0.2381496047538268,0.33292157296162,1.0,3.0,1.0,0.046146856322098084,0.033043191125019376,0.2575957137113643,False,10000.0,2.339677375593147,0.3988342759838177,0.4808944016697553,0.006231281592418068,0.046027036240063976,0.03775241329639936,0.4747682484649922,,,0.1303450292766712,0.40375930239320057,0.08607916111043698,0.009746024635558459,0.14387195436573888,0.1918494475159536,0.0055112857572152795,0.04269753644922017,0.004216819622129715,0.12594897452071166,,0.41258259686244014,,,0.8500928468935822,,0.15409207210537718,0.17791990886470413,-0.0032192511674813554,0.02777658698532517,0.003261753004592605,,,,,0.0065885746534523155,0.03642318443326787,-2.5176865181843053e-05,2.017938074424877,1.3118776004365142,2.26942257073212,0.0013295146389830114,0.01658903291204087,0.006231281592418068,0.009746024635558459
5,23.170139933295587,23,3.8000664129877966,11.004004482953057,3.0,23.0,2.0,0.09313207471424198,6.2302666963940965,0.18524996616744446,3.0,9.0,2.0,0.016944531920580302,0.520458789464804,0.2594668005011197,1.0,7.0,2.0,0.003613028490391518,0.6574808424239444,0.062617031387614,False,2401.975264604729,6.870312552214795,0.06089993922368449,0.11894515741439485,0.00025142144689836336,0.12170506718126202,0.04629381806228828,0.04671884697029609,,0.439341081402831,,,0.3667302761112604,,0.14873185610059778,0.15615648598139498,-0.010431816701969084,0.005578574687513282,0.046939472351861314,0.13777647930039078,,0.960298456690206,,,0.1279430319134531,,0.4862586237891697,0.7533428680345136,0.1575993254176086,0.034446928384548825,0.03693354986523407,,,,,,,,0.9957748050872934,1.9971265585256872,1.4646143302467058,0.9307144002524204,0.006265927337859903,0.00025142144689836336,
8,17.918673266326195,23,2.5927417048480708,9.822623308166966,3.0,7.0,1.0,0.3947759785894384,97.26930469014809,0.4928127246566994,,,,,0.05350710834853456,0.6577008489887767,,,,,5.90822944814346,0.1104546615986251,False,10000.0,3.097023595861156,0.05796104486484074,0.0850465144476531,-0.00029519684353921933,0.12209540165765682,0.02960966292690438,0.09527024188098134,,,0.17550007781724547,0.061772504650694476,0.09646002310746264,-0.0005266144118131049,0.054344686118269266,0.060222448833395975,-0.009050924344643578,0.012438642366483052,,,,,,,,,0.40296085407320215,0.6621528876588267,0.014545630601358274,0.29328774164818683,,,,,,,,,2.857850211654031,1.3863594014525629,2.9222386949513965,0.7090913097601381,0.00678961790903704,-0.00029519684353921933,-0.0005266144118131049
13,13.699756664497915,12,4.749339727440917,6.421610631437981,3.0,7.0,1.0,1.1985620065398606,56.97192567282171,0.10718045363433906,3.0,9.0,2.0,0.24703401008546336,0.4623648458979618,0.30834135039494603,3.0,3.0,1.0,0.3728479224936195,6.766798750351692,0.1816875434354832,False,10000.0,2.0011208713922364,0.7668464268009387,1.3427925071681384,0.07884465696811217,0.012552621345273804,0.05522468025133687,0.6977729937012428,,0.6315378404545289,,,0.3287210104527013,,0.19126995587989495,0.23363015743871104,-0.010111063583157054,0.01490590437986379,0.04501731721726865,0.22758411267717846,1.121906766377375,,,,0.04085523640018063,,0.5832479532395194,0.8575077532497912,-0.0899017679748859,0.013699501423804486,0.06338295185287758,0.2461010033500864,,0.1812811814281591,,,0.3645568012709211,,1.4963792709669288,2.3526063397797192,2.7038253847884888,0.0002183068861607883,0.03019242455058486,0.07884465696811217,
14,8.850247487068645,23,3.4160787053562194,6.355253201791261,3.0,18.0,1.0,0.18845215525369588,7.523063933557353,0.05212841359966956,1.0,14.0,1.0,0.012245610693649605,13.363138728841836,0.09289353090473873,3.0,8.0,1.0,0.8084236174667089,3.6381658261623784,0.038745382006744385,False,129.12559588844215,74.24388893818524,0.242163915382796,0.3868110284965348,0.17400201809129934,0.035086786449542245,0.00997693688027768,0.2971526086219668,,,1.2255302968097688,0.18496128051613092,0.24238517702113035,0.011630435580061441,0.19708261665326504,0.3732219677890502,-0.18873364239833346,0.031657544126212016,0.00986277174483362,,,,,0.2081713231530866,0.4689464554798745,-0.030557829929575637,0.5114476977087106,0.6579484130904615,0.10175772563048373,0.028714703417194776,0.009287103216083156,0.4061852764553979,,0.7749362766095395,,,0.11697749632393036,,1.9900297252154744,1.158359627547795,2.247779960677125,0.9762302453759644,0.01897568155011928,0.17400201809129934,0.011630435580061441
15,12.17423778974905,12,4.604382178987381,8.748241813805775,3.0,9.0,2.0,0.6243440631460415,0.6523684755209259,0.18157537385620404,3.0,7.0,2.0,0.2131742016135782,0.5101970978767433,0.4783575259228896,,,,,0.13019112014737408,0.2511749640635313,False,733.2046116635856,13.691095813195133,0.5061357949168719,0.5729111721784761,0.0387647311972231,0.021817757446734337,0.026899184872472632,0.5728304367505781,,,0.21434660105021194,0.5347609782591171,0.04466983404032992,0.04163480283242822,0.17501808510693134,0.2591138676971644,0.003972894119881356,0.05240178106741157,0.04895204563190755,0.22910486603008234,1.2141915220646364,,,,0.4185444866004808,,0.18753739841584102,0.28139979527282505,0.058101227915368835,0.04112798284261605,,,,,,,,,2.633857286844304,0.2566108506173189,3.2899913177515514,0.3599028659647999,0.105185748166829,0.0387647311972231,0.04163480283242822
19,24.464943943825823,23,7.974269539744181,10.998603642913189,3.0,7.0,1.0,0.040826533347728296,1.4732309237741843,0.13362897117023528,3.0,6.0,1.0,0.0407516811734313,1.9167205839184187,0.2529917007117883,3.0,7.0,2.0,0.028767137328928407,0.6526970723504715,0.10529258917786467,False,91.83984015682873,105.8286899794158,0.3624826542793673,0.4592719437988632,0.09215750285481696,0.008462927854527067,0.04369955184988248,0.37072363188246543,,,0.6130625373379864,0.3873301067105195,0.13448612640702715,0.16329677228781148,0.4167761569839157,0.4404688391325729,-0.02447231296422645,0.0054274235832832704,0.040737586078193874,0.42347436734146543,,,2.6916158577411995,0.3838595394597261,0.07215663113301321,-0.09411314066630384,0.6627053267864991,0.7107391699978403,0.02294974881676046,0.0070870933427021315,0.02114427640277764,0.5635706539023075,,1.0230783377461516,,,0.1808602720628006,,4.107098218020285,2.8149521100078667,1.1489842263690777,0.9571669235102976,0.0793784482160089,0.09215750285481696,0.16329677228781148
22,138.8524478524366,12,6.535156687080076,12.782015846041356,3.0,3.0,1.0,0.4470553759838369,163.8092773176624,0.3024999401464393,3.0,2.0,1.0,1.2589877989276943,25.35212171937707,1.0737181049597528,3.0,3.0,2.0,0.05226207500361092,25.638004392576452,0.5921061038410534,False,10000.0,1.9551970357607984,0.6877371186036291,0.8064115584133104,0.02253976364244933,0.03152307546592833,0.15285916943770145,0.6408547394505163,,,0.4014525626446636,0.5726492318717018,0.10971662321525733,0.017223568571786183,0.19946355646105648,0.3007604087116312,-0.14218364376881454,0.010729720240929322,0.1251244558611056,0.18546789401372607,,0.2187972698400239,,,0.32912553515500914,,0.5280425795977725,0.7775586649123934,-0.5030029983912724,0.02097494441896936,0.28155471587695463,0.5311033404529147,,0.1171846034751732,,,0.3879867128838851,,1.6385730906622935,2.762121017829498,0.5066933621450693,0.6555503111669627,0.0008851868033140492,0.02253976364244933,0.017223568571786183
23,15.970293603683553,12,3.0478276785433995,14.100954306787875,3.0,20.0,1.0,2.965584878615521,11.036921217437786,0.034806446295890144,1.0,5.0,2.0,0.002191148653156587,0.005075802497808764,0.4815755076045693,,,,,0.050603434157339706,0.4317416681234425,False,10000.0,2.0096230159920516,0.8240128024498579,0.8957958711656171,-0.02060232406420844,0.009431515804192313,0.01520227587082064,0.8616845896040296,,,0.06581458126571915,0.8157109147033641,0.06923634454543773,-0.02729933526648889,0.02478009920310675,0.030470766628172524,-0.005293702747246072,0.014853732921385003,0.006192359931403931,,,,,,,,0.06658155052901539,0.08571998120245937,0.020419174466208955,0.009861666425835865,,,,,,,,,2.97413414971119,1.9930798950141488,1.570238225952061,0.010125210232304336,0.013623656609011991,-0.005293702747246072,-0.02729933526648889
