,ID,Mean,Sigma,betaouter,nearpair,betanear,betafar,numfixedpointsnear,jnear,knear,strengthnear,C_AMDnear,EMcrossnear,numfixedpointsfar,jfar,kfar,strengthfar,C_AMDfar,EMcrossfar,numfixedpointsouter,jouter,kouter,strengthouter,C_AMDouter,EMcrossouter,unstableinNorbits,tlyap,megno,EMmednear,EMmaxnear,EMslopenear,EMrollingstdnear,Zcommednear,Zsepouternear,ZfreeICnear,ZfreeOCnear,Zfreenear,Zstarmednear,Zstarstdnear,Zstarslopenear,EMmedfar,EMmaxfar,EMslopefar,EMrollingstdfar,Zcommedfar,Zsepouterfar,ZfreeICfar,ZfreeOCfar,Zfreefar,Zstarmedfar,Zstarstdfar,Zstarslopefar,EMmedouter,EMmaxouter,EMslopeouter,EMrollingstdouter,Zcommedouter,Zsepouterouter,ZfreeICouter,ZfreeOCouter,Zfreeouter,Zstarmedouter,Zstarstdouter,Zstarslopeouter,EPslopenear,testnear,EPslopefar,testfar,EPslopeouter,testouter,EMslopemax,EMrollingstdmax,EPslopemax,KSpval,AMDerr
3,3,6.83750428140782,0.306543385276229,25.295277529019636,12,10.746531908437746,15.024486334183273,3.0,5.0,2.0,0.7102192113443632,0.949706677948896,0.40611221496767147,1.0,5.0,2.0,0.00993701367983255,0.6929193460844768,0.42776844802430924,3.0,3.0,2.0,0.015228703287107638,0.11255472683099346,1.0076026549124162,False,10000.0,2.0030634999900685,0.09036327176636387,0.14294149477989085,0.06604562110328081,0.02790143201047927,0.10142672745845237,0.10073127505172641,,,0.5644546074589165,0.0725246616214536,0.07636731310379419,-0.004273014305043487,0.18635930258331007,0.24731850870253344,-0.062173935434585895,0.010940525018855476,0.03477505913590326,,,,,,,,0.10140840026964601,0.10494650205477268,0.00321481921372316,0.001430173587512867,0.08793641560370255,0.2098422414022683,0.39816813038622706,,,,0.00505190123612426,,-0.0030710725159070872,2.83978901176053,0.0009103526548992943,2.7677647032211357,0.0026119524863343745,1.3479610166976714,0.06604562110328081,0.02790143201047927,0.0009103526548992943,0.40310260702007866,0.004575414974096349
4,4,5.687568150621653,0.23983756313057164,9.032649499504052,12,3.70011382393935,7.123620285713524,3.0,12.0,1.0,0.7749144913147247,5.847346076942254,0.059896720725897815,3.0,7.0,2.0,0.0430416549595639,0.2381496047538268,0.2575957137113643,1.0,3.0,1.0,0.046146856322098084,0.033043191125019376,0.33292157296162,False,10000.0,1.7428434390417438,0.39883427598381765,0.4808944016697553,0.006231281592418068,0.046027036240063976,0.03775241329639936,0.4747682484649922,,,0.13034502927667121,0.40375930239320057,0.08607916111043697,0.00974602463555846,0.18594283523744476,0.2479498549047917,0.007122889961550326,0.04269753644920744,0.004216819622129715,0.16277883706295712,,0.41258259686244014,,,0.8500928468935822,,0.11922765154009289,0.1376642717975741,-0.002490872834483122,0.027776586985323124,0.003261753004592605,,,,,0.005097863064561184,0.03642318443326787,-1.9480421463342484e-05,-0.0013952232759721832,2.017938074424877,0.0009220761567618291,1.3118776004365147,-3.323426652191402e-05,2.269422570732121,0.007122889961550326,0.04269753644920744,0.0009220761567618291,0.0013295146389830112,0.01658903291204087
5,5,5.797548918601388,0.4567843418743342,23.17013993329559,23,3.800066412987796,11.004004482953057,3.0,23.0,2.0,0.09313207471424198,6.2302666963940965,0.062617031387614,3.0,9.0,2.0,0.016944531920580305,0.520458789464804,0.18524996616744446,1.0,7.0,2.0,0.003613028490391518,0.6574808424239444,0.25946680050111975,False,2454.699991650694,6.8193980338449345,0.1801700181369275,0.351894459039407,0.000743820227493298,0.12170506718126305,0.04629381806228828,0.13821582768839638,,0.439341081402831,,,0.36673027611126036,,0.208318412323667,0.21871757730021646,-0.014611123332824263,0.0055785746875223596,0.046939472351861314,0.19297397461367807,,0.9602984566902059,,,0.1279430319134531,,0.11734862205684393,0.1818039684547184,0.038033389579252154,0.03444692838454561,0.03693354986523407,,,,,,,,-0.0069815771222734736,0.9957748050872933,0.0005167802557889482,1.9971265585256854,0.026652829169890285,1.4646143302467063,0.000743820227493298,0.12170506718126305,0.0005167802557889482,0.9307144002524205,0.006265927337859903
8,8,5.8911509423616275,0.41752862167080107,17.918673266326195,23,2.592741704848071,9.822623308166968,3.0,7.0,1.0,0.3947759785894384,97.26930469014809,0.1104546615986251,,,,,0.05350710834853456,0.49281272465669945,,,,,5.908229448143459,0.6577008489887767,False,3681.1048900131163,4.8696635478785035,0.2586033041103167,0.3794498475746087,-0.0013170721694233285,0.12209540165765646,0.029609662926904385,0.42506478948511517,,,0.17550007781724547,0.2756087962715403,0.09646002310746263,-0.002349581985703581,0.07252764470096233,0.08037202317269598,-0.012079234824449954,0.012438642366480127,,,,,,,,,0.06767347927645448,0.11120233955202967,0.0024428016297710895,0.2932877416481862,,,,,,,,,-0.02987896538629467,2.857850211654032,0.006149216090985874,1.386359401452566,0.05636711263721915,2.922238694951396,-0.0013170721694233285,0.12209540165765646,0.006149216090985874,0.7090913097601381,0.00678961790903704
13,13,4.644210361087789,0.25617377852546674,13.699756664497917,12,4.749339727440917,6.421610631437981,3.0,7.0,1.0,1.1985620065398606,56.97192567282171,0.10718045363433906,3.0,9.0,2.0,0.24703401008546336,0.4623648458979618,0.18168754343548316,3.0,3.0,1.0,0.3728479224936195,6.7667987503516915,0.308341350394946,False,10000.0,1.9999665630902093,0.7668464268009387,1.3427925071681384,0.07884465696811217,0.012552621345273803,0.055224680251336866,0.6977729937012428,,0.6315378404545289,,,0.3287210104527013,,0.3246036319871921,0.3964929949268452,-0.017159453753453843,0.014905904379856987,0.04501731721726865,0.3862322716484701,1.121906766377375,,,,0.04085523640018063,,0.34367394351140124,0.5052792204654907,-0.0529738595000053,0.013699501423738943,0.06338295185287757,0.1450129432150846,,0.1812811814281591,,,0.3645568012709211,,-0.008115982594765186,1.496379270966929,0.000993763707337624,2.3526063397797197,0.007961593767566215,2.703825384788489,0.07884465696811217,0.012552621345273803,0.000993763707337624,0.0002183068861607883,0.03019242455058486
14,14,4.641321006938654,0.2790606716906073,8.850247487068645,23,3.4160787053562194,6.355253201791261,3.0,18.0,1.0,0.18845215525369588,7.523063933557352,0.03874538200674438,1.0,14.0,1.0,0.012245610693649604,13.363138728841834,0.05212841359966956,3.0,8.0,1.0,0.8084236174667089,3.638165826162378,0.09289353090473872,False,129.79673832425593,74.73447681498293,0.3258096858560431,0.5204193179685525,0.2341040066313336,0.03508678644953469,0.00997693688027768,0.3997920082906983,,,1.2255302968097688,0.24884870483380567,0.24238517702113033,0.015647701090060695,0.35120386132339354,0.6650865431162728,-0.3363258774290539,0.03165754412617332,0.009862771744833618,,,,,0.37096408475634446,0.4689464554798745,-0.054454462028032655,0.2133220282531325,0.2744266727471413,0.04244258898645703,0.028714703417199103,0.009287103216083156,0.16941764995367017,,0.7749362766095395,,,0.11697749632393037,,-0.00030114409336112627,1.9900297252154737,0.0006356341853398119,1.1583596275477948,0.004380607234172635,2.2477799606771245,0.2341040066313336,0.03508678644953469,0.0006356341853398119,0.9762302453759644,0.01897568155011928
15,15,5.394118484047972,0.4722553762191515,12.17423778974905,12,4.604382178987381,8.748241813805775,3.0,9.0,2.0,0.6243440631460415,0.6523684755209259,0.18157537385620404,3.0,7.0,2.0,0.2131742016135782,0.5101970978767433,0.2511749640635313,,,,,0.13019112014737408,0.4783575259228896,False,727.4971629595074,13.739868073037908,0.5061357949168719,0.572911172178476,0.0387647311972231,0.021817757446734337,0.02689918487247263,0.5728304367505781,,,0.21434660105021194,0.534760978259117,0.04466983404032992,0.041634802832428215,0.33331832452193466,0.49347700375334885,0.0075662947102455875,0.05240178106740979,0.04895204563190755,0.43632548052569814,1.2141915220646364,,,,0.4185444866004808,,0.09847174290148036,0.14775681291681084,0.03050767060795083,0.04112798284261674,,,,,,,,,0.01266663950521557,2.633857286844304,-0.0005974567105177616,0.25661085061731875,-0.004264018319054934,3.2899913177515514,0.0387647311972231,0.021817757446734337,0.01266663950521557,0.3599028659647999,0.10518574816682899
19,19,5.506962477383222,0.6117216691467854,24.46494394382582,23,7.974269539744181,10.99860364291319,3.0,7.0,1.0,0.040826533347728296,1.4732309237741843,0.10529258917786469,3.0,6.0,1.0,0.0407516811734313,1.9167205839184187,0.13362897117023528,3.0,7.0,2.0,0.028767137328928404,0.6526970723504715,0.2529917007117883,False,91.24624894900433,105.65146680724055,0.46003412525628107,0.5828713855020127,0.11695896537698719,0.008462927854530697,0.04369955184988248,0.4704929179133663,,,0.6130625373379864,0.49156853361779795,0.13448612640702717,0.2072432622905606,0.7890572519424601,0.8339131832477797,-0.0463319594766877,0.005427423583289059,0.040737586078193874,0.8017385710848713,,,2.6916158577411995,0.7267381981010946,0.07215663113301321,-0.17817875351418871,0.27581125990692257,0.29580246003584465,0.009551453534245436,0.007087093342733601,0.02114427640277764,0.23455241087784529,,1.0230783377461516,,,0.1808602720628006,,-0.0062788888325978585,4.107098218020286,-0.019444187656840962,2.8149521100078627,0.06150451953922526,1.148984226369076,0.11695896537698719,0.008462927854530697,-0.0062788888325978585,0.9571669235102975,0.0793784482160089
22,22,5.696338898452464,0.4219748814653336,138.8524478524366,12,6.535156687080076,12.782015846041357,3.0,3.0,1.0,0.44705537598383693,163.8092773176624,0.30249994014643933,3.0,2.0,1.0,1.2589877989276945,25.35212171937707,0.5921061038410534,3.0,3.0,2.0,0.05226207500361092,25.638004392576452,1.0737181049597528,False,10000.0,2.0138497413163337,0.687737118603629,0.8064115584133104,0.022539763642449334,0.03152307546592833,0.15285916943770145,0.6408547394505163,,,0.40145256264466356,0.5726492318717018,0.10971662321525733,0.01722356857178618,0.3617048202384179,0.5453953168087288,-0.2578341137734767,0.010729720240895932,0.1251244558611056,0.3363252538682695,,0.2187972698400239,,,0.32912553515500914,,0.2911911730123392,0.42878780702537006,-0.2773829967307741,0.020974944418984592,0.28155471587695463,0.2928790417148936,,0.11718460347517319,,,0.38798671288388514,,-0.0012485796619766825,1.6385730906622935,0.0004335248597900668,2.762121017829498,0.2720338946428666,0.5066933621450691,0.022539763642449334,0.03152307546592833,0.0004335248597900668,0.6555503111669627,0.0008851868033140492
23,23,5.750305153315754,0.2329825506116089,15.970293603683553,12,3.0478276785433995,14.100954306787877,3.0,20.0,1.0,2.965584878615521,11.036921217437786,0.034806446295890144,1.0,5.0,2.0,0.002191148653156587,0.005075802497808764,0.43174166812344245,,,,,0.050603434157339706,0.48157550760456924,False,10000.0,1.982517906906931,0.8240128024498579,0.895795871165617,-0.020602324064208435,0.009431515804192311,0.015202275870820639,0.8616845896040296,,,0.06581458126571915,0.8157109147033641,0.06923634454543773,-0.027299335266488894,0.02764034545031619,0.033987858919994285,-0.005904729091109726,0.014853732921389806,0.006192359931403931,,,,,,,,0.059691635553954056,0.07684960528816727,0.01830618107967295,0.009861666425841638,,,,,,,,,0.0034499781883418497,2.97413414971119,0.00017698546995800857,1.9930798950141493,-0.00046090791600483317,1.570238225952061,-0.005904729091109726,0.014853732921389806,0.0034499781883418497,0.010125210232304336,0.013623656609011991
