,runstring,seed,pairindex,j,k,Zstar,libfac,Zcom,instability_time,shadow_instability_time
0,0000000.bin,3500000,1,12,1,0.02165038,0.007181011,0.04166906,1545872.285422371,3063700.3178739296
1,0000001.bin,700001,1,19,2,0.06029125,0.5232044,0.01065561,999000000.0049602,999000000.0049602
2,0000002.bin,2,0,6,1,0.02635348,0.01299504,0.05031908,999000000.0049602,999000000.0049602
3,0000003.bin,2100003,0,5,2,0.02351106,0.7134149000000001,0.10219960000000002,2287670.6431605453,8392234.130232595
4,0000004.bin,700004,0,12,1,0.01747332,0.003611717,0.03980348,966893.1133122636,338035.0030993098
5,0000005.bin,1400005,1,23,2,0.004732225,-0.02638225,0.04879355,575589.3738979587,54597.80948324918
6,0000006.bin,6,1,5,1,0.0656668,-0.07724743,0.03076866,72483721.36519071,324322048.5044407
7,0000007.bin,2100007,0,21,2,0.02515836,0.23411279999999998,0.029718400000000002,22258.58492785017,6193.744405791922
8,0000008.bin,8,1,7,1,0.02261202,0.007720586,0.03904033,293096.5984778256,1359759.4071287077
9,0000009.bin,700009,1,11,2,0.009254916,0.0035721090000000004,0.01014287,348479.0616249329,953497.3284858282
10,0000010.bin,700010,0,6,1,0.05599299,-0.16560329999999998,0.08288526,834995.7126820795,2643685.616566886
11,0000011.bin,2100011,0,8,1,0.0110662,0.103376,0.04666253,11707610.477940055,33929237.08034969
12,0000012.bin,12,1,9,2,0.01710251,-2.930812,0.011664299999999999,1000000000.0,1000000000.0
13,0000013.bin,13,1,9,2,0.04597618,0.2990046,0.04424207,45060.89524776288,67937.85695970405
14,0000014.bin,700014,2,8,1,0.008937921,0.003497063,0.01248498,20910.73763043094,22105.471636462757
15,0000015.bin,700015,0,9,2,0.06743867,0.1551293,0.02489899,140210.79461136015,52104.73019135426
16,0000016.bin,16,1,21,2,0.002174931,-1.0952950000000001,0.004798055,14795269.671115754,7436458.4920937875
17,0000017.bin,700017,0,14,1,0.01127654,-0.01552443,0.007188645,1000000000.0000012,1000000000.0000013
18,0000018.bin,700018,1,3,1,0.04202623,-0.02777658,0.06534137,98716780.6507778,29839217.692676283
19,0000019.bin,1400019,0,6,1,0.07450989,1.933554,0.04359758,153688.0897938341,118348.57218574334
20,0000020.bin,700020,0,19,2,0.01123526,1.338476,0.0021245310000000002,17863.609926740584,31198.322683906274
21,0000021.bin,700021,0,3,1,0.03930725,0.6628377,0.02852755,1000000000.0000002,1000000000.0000002
22,0000022.bin,22,0,3,1,0.1273672,-0.49647929999999996,0.1538081,177459.72503009503,239870.0882533609
23,0000023.bin,700023,0,20,1,0.02005062,-0.009333173,0.01287916,311092.64101306576,768474.604217912
24,0000024.bin,700024,0,3,1,0.06716949,-0.04064015,0.02968609,28232606.43249219,40928251.46636578
25,0000025.bin,700025,1,11,1,0.030523599999999998,-0.01745089,0.04173005,1835425.4553373018,615350.9902901103
26,0000026.bin,26,2,2,1,0.02113721,-2.141078,0.0159317,86961.10954708558,62243.49744157444
27,0000027.bin,27,2,9,2,0.001626604,-0.8910325000000001,0.004054915,98209.46318587147,56585.684195491805
28,0000028.bin,28,2,4,1,0.02029167,-0.2459939,0.0194362,927399.3412561476,40170.24194552141
29,0000029.bin,29,1,4,1,0.05077144,-0.03225255,0.014694899999999999,183274144.50606465,999000000.0049602
30,0000030.bin,700030,2,5,1,0.01004904,-0.0033890229999999997,0.01321051,513878.2397582521,2706826.697597188
31,0000031.bin,31,1,5,1,0.009917582,0.006523069,0.05719437,9297808.76968848,12773853.268569421
32,0000032.bin,32,0,6,1,0.03643944,0.4343531,0.02467861,999000000.0049602,999000000.0049602
33,0000033.bin,700033,0,18,1,0.004939211,0.02205959,0.00613591,17586.655002613345,82095.32849444574
34,0000034.bin,34,2,7,2,0.10447680000000001,0.03725707,0.008213877,39653.98688171464,48131.405638000084
35,0000035.bin,35,0,9,2,0.02774907,0.01712249,0.07195838,135835315.33203837,44908063.5903044
36,0000036.bin,700036,0,11,2,0.04210143,-0.1294639,0.01288604,494549.6958954677,15153.712515280205
37,0000037.bin,1400037,1,25,2,0.003435705,-0.00408089,0.00674903,52737.48299250132,64609.374922136165
38,0000038.bin,38,1,15,2,0.03620008,0.03998678,0.02609843,798445.4570410725,27687.663543099396
39,0000039.bin,700039,1,7,2,0.06919109,1.031916,0.00660374,71403164.73123309,61336278.97345232
40,0000040.bin,1400040,1,7,2,0.02694772,-1.424688,0.01833203,1000000000.0000008,1000000000.0000007
41,0000041.bin,41,1,33,2,0.008153874,-0.35279240000000006,0.0038829620000000002,863656.4769195531,408886.4120118949
42,0000042.bin,42,0,5,1,0.07644272,0.3215287,0.05505963,269341.1059550944,38543.01485250259
43,0000043.bin,43,1,10,1,0.02043488,0.373626,0.02394766,99076.1814101515,334624.6643405599
44,0000044.bin,1400044,0,9,2,0.02534381,-0.02809785,0.04427157,91677481.69740078,457242639.1526055
45,0000045.bin,45,1,27,2,0.0018888379999999999,0.08509205,0.004545626,11639.727836922832,6799.892906402109
46,0000046.bin,46,1,6,1,0.04542924,0.008570849,0.009862839,45518.60699426217,3424929.5263319695
47,0000047.bin,47,0,17,2,0.005287422,0.04333038,0.03782013,2168327.042018746,658998.70514387
48,0000048.bin,48,0,21,2,0.005347493,0.5795305000000001,0.0047547729999999995,171918.96377761124,474124.07105095073
49,0000049.bin,49,1,21,1,0.01183128,0.00422808,0.01956626,380981.44536864466,247915.2564100234
50,0000050.bin,50,1,15,2,0.02346677,2.4441599999999997,0.02776062,16512.956707013116,20023.269437658488
51,0000051.bin,700051,1,4,1,0.05132705,0.07893376,0.09961838,33378027.48733098,29487714.02197904
52,0000052.bin,700052,1,7,1,0.05425708,0.09265614,0.06579513,492217300.9203387,72135635.6081104
53,0000053.bin,700053,1,31,2,0.007782101,-0.004535162,0.004208753,1970204.1233826482,110776.77351488368
54,0000054.bin,54,1,10,1,0.01863807,-0.06555751,0.05241159,2220683.543298346,1434684.5997933012
55,0000055.bin,55,0,4,1,0.09361093,-0.02415094,0.14189200000000002,83060546.86904904,23473366.953578405
56,0000056.bin,56,1,11,1,0.06023055,0.05480472,0.01080971,1000000000.0000002,1000000000.0000002
57,0000057.bin,700057,0,9,1,0.05986066,-0.21422420000000003,0.02631737,1000000000.0000002,1000000000.0000002
58,0000058.bin,58,0,3,1,0.03329269,-0.06688367,0.2109462,248786.51260742015,331280.3513586077
59,0000059.bin,59,0,2,1,0.05436908,0.02381641,0.1818056,37312.87772770607,93669.37696715174
60,0000060.bin,700060,0,7,2,0.18056529999999998,0.20293339999999999,0.1017441,17874.417923779696,17927.384037474574
61,0000061.bin,61,0,15,2,0.01271324,0.7745563,0.02175223,21611.178977004147,275260.2163860589
62,0000062.bin,700062,1,18,1,0.006993049,0.003782619,0.01966868,104994.35653367973,99882.5896253
63,0000063.bin,700063,0,9,2,0.00902032,0.1282996,0.01745015,175742.91626929093,59187.39771405907
64,0000064.bin,700064,1,7,1,0.03021656,-0.01967195,0.02094679,1000000000.0000002,1000000000.0000002
65,0000065.bin,4900065,1,47,2,0.0009273211999999999,0.1787009,0.01811613,145619.50431024862,92897.22871698378
66,0000066.bin,1400066,1,5,2,0.09527219,0.009637781,0.04300426,5383146.9280687915,5712494.311839436
