,runstring,t
0,0000000.bin,77415.309503532
1,0000001.bin,671214.6238955696
2,0000002.bin,459179.09559825464
3,0000003.bin,232084.57156994962
4,0000004.bin,173685.62701362645
5,0000005.bin,945169.7142675534
6,0000006.bin,738826.6109059126
7,0000007.bin,93641.00861116491
8,0000008.bin,1471910.9858648346
9,0000009.bin,393247.3277794014
10,0000010.bin,757981.6777986338
11,0000011.bin,484420.34982871293
12,0000012.bin,241125.96878651902
13,0000013.bin,623706.9320124275
14,0000014.bin,66098.8752771211
15,0000015.bin,141129.40559605934
16,0000016.bin,3857093.8719002837
17,0000017.bin,805954.6307728385
18,0000018.bin,448369.179710107
19,0000019.bin,93611.5292582629
20,0000020.bin,442767.27128332626
21,0000021.bin,224041.59257906245
22,0000022.bin,142368.6122849543
23,0000023.bin,87318.95180426068
24,0000024.bin,72915.88037340714
25,0000025.bin,105411.41101593168
26,0000026.bin,283287.47094205144
27,0000027.bin,232863.50544763647
28,0000028.bin,10184034.608033447
29,0000029.bin,583741.4165161216
30,0000030.bin,133540.94903731346
31,0000031.bin,438002.4240585734
32,0000032.bin,264983.3908681109
33,0000033.bin,106497.22807434942
34,0000034.bin,40523.12909640583
35,0000035.bin,301430.678965743
36,0000036.bin,353492.9481888379
37,0000037.bin,190368.2387848377
38,0000038.bin,269376.4033410608
39,0000039.bin,130349.59257836083
40,0000040.bin,145165.7213700607
41,0000041.bin,310528.74857758667
42,0000042.bin,332992.60436428624
43,0000043.bin,113815.62465583369
44,0000044.bin,49922.29687737896
45,0000045.bin,81917.99487240279
46,0000046.bin,449473.87602415547
47,0000047.bin,161700.20891904528
48,0000048.bin,296136.83150857134
49,0000049.bin,141058.63436453242
50,0000050.bin,154440.90960061696
51,0000051.bin,48732.97299584582
52,0000052.bin,91558.12432057496
53,0000053.bin,246365.91510904423
54,0000054.bin,564459.321671578
55,0000055.bin,234989.2750971131
56,0000056.bin,206095.04056080146
57,0000057.bin,149434.85821459186
58,0000058.bin,1674822.9848984287
59,0000059.bin,92344.74846358183
60,0000060.bin,355426.703671407
61,0000061.bin,557634.1413433236
62,0000062.bin,361236.04143429693
63,0000063.bin,76750.27470093178
64,0000064.bin,329757.60045459523
65,0000065.bin,165147.2840428886
66,0000066.bin,217818.71248533006
67,0000067.bin,219947.59981020435
68,0000068.bin,492362.6625317478
69,0000069.bin,66040.78259226015
70,0000070.bin,191849.93133799522
71,0000071.bin,36354.58924820811
72,0000072.bin,321943.8399002413
73,0000073.bin,96456.68518294067
74,0000074.bin,135942.39047361887
75,0000075.bin,239825.89814569417
76,0000076.bin,312431.36194706924
77,0000077.bin,49455.06125817531
78,0000078.bin,37444.70177050347
79,0000079.bin,330984.23251732514
80,0000080.bin,1018286.961767512
81,0000081.bin,2836312.3613218004
82,0000082.bin,210120.86016096402
83,0000083.bin,905714.4583104741
84,0000084.bin,234656.3420054806
85,0000085.bin,99391.76872234653
86,0000086.bin,146013.52123319812
87,0000087.bin,294465.3418081804
88,0000088.bin,180597.79049694404
89,0000089.bin,160466.2676374886
90,0000090.bin,804830.9166388962
91,0000091.bin,293636.6290480367
92,0000092.bin,113281.28973396118
93,0000093.bin,155899.1503066165
94,0000094.bin,48925.05644101814
95,0000095.bin,133508.62913569104
96,0000096.bin,207922.48331555963
97,0000097.bin,358626.37392665056
98,0000098.bin,273730.92984333314
99,0000099.bin,225836.19581963192
100,0000100.bin,308612.83312642976
101,0000101.bin,97622.62649901099
102,0000102.bin,244178.3462050184
103,0000103.bin,266132.53137692023
104,0000104.bin,146153.81662609288
105,0000105.bin,341850.8208159395
106,0000106.bin,71798.40158931086
107,0000107.bin,143335.8537566599
108,0000108.bin,1454198.4672571367
109,0000109.bin,374381.7197264478
110,0000110.bin,410163.66125449917
111,0000111.bin,207217.23049977084
112,0000112.bin,95638.08754671576
113,0000113.bin,88687.33417598241
114,0000114.bin,1198946.6908978943
115,0000115.bin,234167.73298899154
116,0000116.bin,73381.41859156238
117,0000117.bin,315809.7096431363
118,0000118.bin,547740.5795346844
119,0000119.bin,92855721.500815
120,0000120.bin,198958.854779743
121,0000121.bin,316394.8280326187
122,0000122.bin,260457.2190122325
123,0000123.bin,159938.34127015126
124,0000124.bin,100962.00325547838
125,0000125.bin,802989.6175521313
126,0000126.bin,319384.22840306215
127,0000127.bin,149782.16725389136
128,0000128.bin,43243.88977282141
129,0000129.bin,203065.31825019175
130,0000130.bin,63869.14847542466
131,0000131.bin,308601.43629082857
132,0000132.bin,247562.37500415347
133,0000133.bin,494694.2680352277
