,runstring,t
0,0000000.bin,192769992.45661917
1,0000001.bin,211094285.95240197
2,0000002.bin,253598315.96257764
3,0000003.bin,68038291.12946053
4,0000004.bin,299115793.7819815
5,0000005.bin,35425242.603575
6,0000006.bin,176352400.4792678
7,0000007.bin,158717540.9660334
8,0000008.bin,246139863.5664463
9,0000009.bin,695790593.3850287
10,0000010.bin,34206768.73630751
11,0000011.bin,104971937.91981514
12,0000012.bin,99119175.29589391
13,0000013.bin,439149019.0103946
14,0000014.bin,102686087.60446922
15,0000015.bin,304819836.774908
16,0000016.bin,223723884.7733845
17,0000017.bin,99770237.39648445
18,0000018.bin,1331581805.6511323
19,0000019.bin,36018167.356231324
20,0000020.bin,166618835.7985809
21,0000021.bin,63861680.336880095
22,0000022.bin,182785632.54122853
23,0000023.bin,113887615.7060751
24,0000024.bin,99912119.09017138
25,0000025.bin,344697075.6818531
26,0000026.bin,65050025.40144056
27,0000027.bin,226707590.88383624
28,0000028.bin,18676493.83772172
29,0000029.bin,60885402.12401913
30,0000030.bin,111257670.41559355
31,0000031.bin,51820287.35056484
32,0000032.bin,46569006.14701049
33,0000033.bin,551271006.1860142
34,0000034.bin,362073572.47810084
35,0000035.bin,685225607.4452568
36,0000036.bin,356006072.85031646
37,0000037.bin,37990557.11550167
38,0000038.bin,518453586.0847415
39,0000039.bin,193713421.13639256
40,0000040.bin,27412316.834948707
41,0000041.bin,40297413.78586969
42,0000042.bin,105274272.83969145
43,0000043.bin,146588946.731504
44,0000044.bin,326860048.5754543
45,0000045.bin,93888143.80951451
46,0000046.bin,284463294.4304295
47,0000047.bin,74686094.21407832
48,0000048.bin,359488808.50267464
49,0000049.bin,502400299.1607099
50,0000050.bin,53434292.2987856
51,0000051.bin,161355836.5353504
52,0000052.bin,215696266.59710166
53,0000053.bin,144920458.8920869
54,0000054.bin,285248317.1505478
55,0000055.bin,568532635.7584373
56,0000056.bin,75128650.9268638
57,0000057.bin,1286861853.9273305
58,0000058.bin,88562943.13080129
59,0000059.bin,221256513.3415056
60,0000060.bin,36762025.96248023
61,0000061.bin,191008208.22176254
62,0000062.bin,99565031.6930202
63,0000063.bin,37957387.42767054
64,0000064.bin,197168650.28708604
65,0000065.bin,39382145.64641498
66,0000066.bin,151425858.78583565
67,0000067.bin,542727373.1033279
68,0000068.bin,84694524.89039612
69,0000069.bin,86338620.82164888
70,0000070.bin,26936496.998190705
71,0000071.bin,83427822.0791431
72,0000072.bin,63268617.88787652
73,0000073.bin,32050647.402955133
74,0000074.bin,218465729.56823206
75,0000075.bin,92087964.91817224
76,0000076.bin,101325009.84262356
77,0000077.bin,34632937.19435992
78,0000078.bin,596126581.2710301
79,0000079.bin,451775770.76867855
80,0000080.bin,266818909.3450179
81,0000081.bin,93702783.91524433
82,0000082.bin,45989854.20023596
83,0000083.bin,45340088.28134457
84,0000084.bin,65324207.172317624
85,0000085.bin,192378969.42582855
86,0000086.bin,89063066.71696547
87,0000087.bin,280825042.682669
88,0000088.bin,71615026.37358738
89,0000089.bin,255351211.78637314
90,0000090.bin,35064629.99304455
91,0000091.bin,129325463.8277578
92,0000092.bin,78995164.83187337
93,0000093.bin,38610223.48655938
94,0000094.bin,63901251.06632124
95,0000095.bin,141019686.7011261
96,0000096.bin,451302094.55915093
97,0000097.bin,126598671.83639848
98,0000098.bin,329723675.01128167
99,0000099.bin,31635239.74820081
100,0000100.bin,160226563.2160967
101,0000101.bin,645244850.7523131
102,0000102.bin,58776989.84974571
103,0000103.bin,384440262.2725024
104,0000104.bin,253480591.59439105
105,0000105.bin,98463379.80644207
106,0000106.bin,35777727.42109292
107,0000107.bin,342095056.4740113
108,0000108.bin,660813227.5102072
109,0000109.bin,69020085.73354864
110,0000110.bin,136990035.92190093
111,0000111.bin,101862671.9231273
112,0000112.bin,104102093.86693537
113,0000113.bin,83547621.52922766
114,0000114.bin,375052464.5196169
115,0000115.bin,64813163.306889415
116,0000116.bin,1052038963.5673679
117,0000117.bin,1190411142.098187
118,0000118.bin,308315796.6425768
119,0000119.bin,27549917.82291881
120,0000120.bin,383758820.4407491
121,0000121.bin,5561021522.441478
122,0000122.bin,118012380.14719178
123,0000123.bin,79337504.68058741
124,0000124.bin,495749252.84938705
125,0000125.bin,66367860.965382315
126,0000126.bin,16323726.659269629
127,0000127.bin,47664879.58849933
128,0000128.bin,346082373.00087756
129,0000129.bin,201724052.84777293
130,0000130.bin,433245512.5573245
131,0000131.bin,53157425.963074856
132,0000132.bin,209724542.08026874
133,0000133.bin,249067622.33238837
134,0000134.bin,305749415.16779745
135,0000135.bin,48239231.60769771
136,0000136.bin,374988504.631848
137,0000137.bin,209839688.38269532
138,0000138.bin,95792492.45027407
139,0000139.bin,85961495.2324509
140,0000140.bin,134296332.8349717
141,0000141.bin,52423865.25375234
142,0000142.bin,487399842.8217461
143,0000143.bin,93295232.81465739
144,0000144.bin,770421883.2217069
145,0000145.bin,139402617.2466711
146,0000146.bin,76952129.74455974
147,0000147.bin,79053182.85988323
148,0000148.bin,239506140.99763766
149,0000149.bin,101370146.01900956
150,0000150.bin,261269212.0575151
151,0000151.bin,36740971.82409666
152,0000152.bin,86022710.34004204
153,0000153.bin,86065935.30775252
154,0000154.bin,54249890.105000935
155,0000155.bin,1061710636.614727
156,0000156.bin,44519597.200182036
157,0000157.bin,243688600.89863595
158,0000158.bin,118568347.78688787
159,0000159.bin,278734023.5760679
160,0000160.bin,145388324.1657695
161,0000161.bin,30502885.301862583
162,0000162.bin,370174913.2165312
163,0000163.bin,144199405.0879951
164,0000164.bin,136831548.20879206
165,0000165.bin,206035574.68561995
166,0000166.bin,32921277.6846689
167,0000167.bin,190951242.07860237
168,0000168.bin,597848348.4790468
169,0000169.bin,38532078.52567547
170,0000170.bin,51046098.25348602
171,0000171.bin,36591424.5664257
172,0000172.bin,1159311391.8776622
173,0000173.bin,61029236.17908859
174,0000174.bin,36178081.178537376
175,0000175.bin,83343740.9693446
176,0000176.bin,69621500.20276953
177,0000177.bin,81727540.14251406
178,0000178.bin,174333048.42110133
179,0000179.bin,38610552.10274215
180,0000180.bin,139468892.48110172
181,0000181.bin,33979050.030467935
182,0000182.bin,899040235.1644264
183,0000183.bin,50263149.97399455
184,0000184.bin,15463663.337167278
185,0000185.bin,77878795.4061442
186,0000186.bin,53108797.588319965
187,0000187.bin,111888489.44374493
188,0000188.bin,49631118.717232764
189,0000189.bin,289521464.40330184
190,0000190.bin,2175210112.062585
191,0000191.bin,191010108.2498292
192,0000192.bin,23994784.32416134
193,0000193.bin,22422628.396339852
194,0000194.bin,18448102.613837354
195,0000195.bin,13962297.587428184
196,0000196.bin,58045193.570057504
197,0000197.bin,306434119.79385847
198,0000198.bin,73400405.23940396
199,0000199.bin,45277046.19195046
