,runstring,t
0,sarunstring98.bin,263050.1241269671
1,sarunstring160.bin,533679.3215816992
2,sarunstring111.bin,538121.4776589728
3,sarunstring204.bin,300209.1264437978
4,sarunstring415.bin,437795.2404610296
5,sarunstring75.bin,648305.8900830419
6,sarunstring445.bin,2195944.0669444255
7,sarunstring66.bin,1064352.7739282392
8,sarunstring262.bin,3288519.0796874715
9,sarunstring114.bin,738594.0269801947
10,sarunstring168.bin,1700806.6188115038
11,sarunstring388.bin,348883.0796523445
12,sarunstring383.bin,520607.67266538297
13,sarunstring323.bin,659278.0855687605
14,sarunstring137.bin,4666981.669802667
15,sarunstring255.bin,2414875.2882287903
16,sarunstring392.bin,416204.672898046
17,sarunstring67.bin,65269.18234929589
18,sarunstring100.bin,28251933.77867322
19,sarunstring117.bin,803119.5361722411
20,sarunstring329.bin,291169.17223194643
21,sarunstring353.bin,832866.6428479806
22,sarunstring418.bin,273027.1524663119
23,sarunstring326.bin,389442.3748310469
24,sarunstring453.bin,899061.0522797046
25,sarunstring44.bin,103551.76605486857
26,sarunstring438.bin,171502.54409269185
27,sarunstring331.bin,559824.8017983551
28,sarunstring393.bin,3632379.141552788
29,sarunstring338.bin,3916391.271029597
30,sarunstring154.bin,151364.54361832052
31,sarunstring192.bin,711674.250768411
32,sarunstring145.bin,1164962.6166694693
33,sarunstring355.bin,19003763.02525187
34,sarunstring182.bin,20469.168597134398
35,sarunstring328.bin,873609.1544903236
36,sarunstring40.bin,1202045.8589663259
37,sarunstring175.bin,780645.2415752906
38,sarunstring5.bin,560288.4371597898
39,sarunstring25.bin,357858.7747792637
40,sarunstring128.bin,142593.403691684
41,sarunstring474.bin,596653.6407072715
42,sarunstring247.bin,305678.56184048543
43,sarunstring455.bin,4810214.064785825
44,sarunstring184.bin,421659.7322730372
45,sarunstring165.bin,932602.7012340012
46,sarunstring56.bin,103247.20224075974
47,sarunstring50.bin,475656.4161749358
48,sarunstring295.bin,606156.0178736777
49,sarunstring32.bin,168313.4921472171
50,sarunstring93.bin,731334.6902567252
51,sarunstring39.bin,637902.1190329017
52,sarunstring484.bin,946972.0372599041
53,sarunstring99.bin,34225.80893049658
54,sarunstring374.bin,785730.6120422176
55,sarunstring281.bin,200236.2970290034
56,sarunstring144.bin,1649598.952563251
57,sarunstring462.bin,1953622.0538447555
58,sarunstring325.bin,106798.80706393105
59,sarunstring146.bin,4492886.830756043
60,sarunstring149.bin,53164.64135680292
61,sarunstring208.bin,1283666.3281064832
62,sarunstring185.bin,428093.9199691108
63,sarunstring87.bin,628675.2072276828
64,sarunstring229.bin,1675380.909791783
65,sarunstring309.bin,631971.2652824617
66,sarunstring427.bin,338188.77443288895
67,sarunstring30.bin,70727.60190718292
68,sarunstring461.bin,88589.89548169136
69,sarunstring16.bin,2462726.8982034274
70,sarunstring252.bin,30907.823121647623
71,sarunstring497.bin,980296.0367091278
72,sarunstring297.bin,918032.7244420021
73,sarunstring157.bin,390485.34654486785
74,sarunstring431.bin,1240361.6978954198
75,sarunstring71.bin,440640.68816745194
76,sarunstring72.bin,323089.20583244186
77,sarunstring115.bin,416264.46329189657
78,sarunstring410.bin,232290.5992080418
79,sarunstring290.bin,509744.70030388754
80,sarunstring169.bin,214707.20046861545
81,sarunstring423.bin,2242592.2480223193
82,sarunstring375.bin,3099487.8010527464
83,sarunstring301.bin,1415280.1573191176
84,sarunstring58.bin,338523.02559758467
85,sarunstring279.bin,726956.5161364578
86,sarunstring234.bin,391991.29543934565
87,sarunstring139.bin,66685.06460294356
88,sarunstring275.bin,699979.0279916084
89,sarunstring416.bin,866547.4447645369
90,sarunstring334.bin,2457123.1942459806
91,sarunstring202.bin,1417064.065721409
92,sarunstring62.bin,1204641.7874252826
93,sarunstring161.bin,1522899.540371178
94,sarunstring135.bin,871658.3110194209
95,sarunstring13.bin,370419.5379481238
96,sarunstring264.bin,324299.4936541994
97,sarunstring300.bin,1224383.459971392
98,sarunstring217.bin,1172421.6588042532
99,sarunstring235.bin,958927.4833507458
100,sarunstring119.bin,4153258.9224781026
101,sarunstring55.bin,831661.8975849816
102,sarunstring271.bin,725093.3490776733
103,sarunstring222.bin,56611.14533556719
104,sarunstring473.bin,789779.0036878244
105,sarunstring299.bin,922051.6019417674
106,sarunstring362.bin,1070019.3513297734
107,sarunstring201.bin,1597840.2516730726
108,sarunstring116.bin,764500.0684925591
109,sarunstring469.bin,544411.0737736552
110,sarunstring126.bin,1578564.9511257214
111,sarunstring358.bin,566166.1169502926
112,sarunstring476.bin,327141.442617992
113,sarunstring244.bin,881153.7599825779
114,sarunstring164.bin,326875.9885113423
115,sarunstring412.bin,1253535.364520966
116,sarunstring272.bin,320142.43315382185
117,sarunstring311.bin,43326.48884724444
118,sarunstring380.bin,672987.4063121307
119,sarunstring12.bin,447066.38881457224
120,sarunstring458.bin,159903.93514700755
121,sarunstring9.bin,705505.1014672155
122,sarunstring324.bin,708318.852652803
123,sarunstring74.bin,457760.3129828503
124,sarunstring0.bin,1186290.051006201
125,sarunstring367.bin,300035.4363888922
126,sarunstring394.bin,1173009.066513006
127,sarunstring78.bin,511071.8322772833
128,sarunstring199.bin,1105386.75482083
129,sarunstring434.bin,662317.7654623035
130,sarunstring91.bin,654320.0554775533
131,sarunstring251.bin,1068823.0584823315
132,sarunstring421.bin,877380.2448008822
133,sarunstring260.bin,386987.1928124121
134,sarunstring446.bin,2578150.1747048106
135,sarunstring314.bin,1645616.6213609013
136,sarunstring485.bin,1413150.5662179028
137,sarunstring480.bin,166450.46365841004
